SequenceID,logFC,logCPM,LR,PValue,FDR,2-fold threshold?,Significant
1,-0.074054944,5.647755623,0.076918692,0.781517365,0.863648933,Not Sig,False
2,0.115446617,6.396304746,0.11622861,0.73316142,0.830688712,Not Sig,False
3,-0.650745685,6.9539921,6.445120111,0.011125752,0.041534843,Not Sig,False
4,-0.395898177,7.23507721,2.722622399,0.09893535,0.208520098,Not Sig,False
5,-0.267365403,7.413487317,1.214549804,0.270432913,0.425474456,Not Sig,False
6,-0.331948848,5.369427778,1.668368649,0.196477183,0.340487163,Not Sig,False
7,0.627937917,3.250772335,3.163280491,0.075311705,0.171917573,Not Sig,False
8,-0.181214395,3.890127839,0.204950566,0.650754219,0.766241447,Not Sig,False
9,0.05835577,4.874140361,0.042443528,0.83677664,0.900046728,Not Sig,False
10,2.261438697,8.366000982,67.29579276,2.3368E-16,5.13643E-14,Up,False
11,-0.472226896,6.974847951,3.481705844,0.062050744,0.14972159,Not Sig,False
12,-0.06806453,6.677716046,0.071627262,0.788982058,0.868798278,Not Sig,False
13,-0.20077091,7.691831414,0.79167916,0.373592867,0.5275983,Not Sig,False
14,-0.046735419,6.555116415,0.041569666,0.838442269,0.900984958,Not Sig,False
15,-1.224607407,6.860568689,17.92039518,2.30339E-05,0.000324955,Down,False
16,0.010891939,7.339741426,0.002007145,0.964265787,0.978627804,Not Sig,False
17,0.38550895,6.626910538,1.879766145,0.170360729,0.307064032,Not Sig,False
18,0.543367062,7.656431773,5.667756938,0.017279537,0.057781771,Not Sig,False
19,-0.029446968,7.144136426,0.011191805,0.915747918,0.949612892,Not Sig,False
20,-0.562958322,6.541460102,5.614957981,0.017807808,0.058989988,Not Sig,False
21,-0.310195825,6.946987198,1.790459271,0.180870215,0.320616454,Not Sig,False
22,-0.182152465,7.56727301,0.500144601,0.479436593,0.62776344,Not Sig,False
23,0.003481036,6.012137954,0.000196493,0.988815943,0.993335078,Not Sig,False
24,0.50963265,5.737276459,4.448282237,0.034936372,0.097861842,Not Sig,False
25,-0.043294965,3.616640306,0.013539712,0.907367024,0.943977078,Not Sig,False
26,0.004720735,5.025740241,0.000292161,0.986362656,0.992332336,Not Sig,False
27,-0.078444514,4.752006815,0.079135079,0.778472964,0.86154211,Not Sig,False
28,-0.345389492,6.814915111,2.288029126,0.130375382,0.255574757,Not Sig,False
29,-0.373781082,4.387199984,1.354256974,0.244535283,0.396401064,Not Sig,False
30,0.028941809,7.016451876,0.014828011,0.903080919,0.941546765,Not Sig,False
31,1.140431774,9.761162846,19.13754589,1.21629E-05,0.000184788,Up,False
33,-0.35616181,2.422373545,0.806192187,0.369248432,0.523459829,Not Sig,False
34,0.364435086,4.161336494,1.42175377,0.233114957,0.383960676,Not Sig,False
35,0.451892424,6.771699325,3.470524598,0.062471496,0.150300806,Not Sig,False
36,0.150050382,5.551624184,0.261777812,0.608901397,0.735615218,Not Sig,False
37,-0.499585616,7.836858542,4.424897259,0.035418245,0.098869285,Not Sig,False
38,0.853093744,6.091880405,11.93111474,0.000552041,0.004298983,Not Sig,False
39,-0.003619429,2.555340483,0.00011019,0.991624661,0.99542287,Not Sig,False
41,-0.881332088,7.681367844,14.2302033,0.000161753,0.001635293,Not Sig,False
42,-0.521527294,7.035916913,4.906335378,0.026758354,0.079343528,Not Sig,False
43,1.191452081,7.000839617,22.90864388,1.69886E-06,3.43503E-05,Up,False
44,-0.149183639,6.28529386,0.345608118,0.556609859,0.692105763,Not Sig,False
46,-0.371838929,6.3938104,2.33917035,0.126156728,0.249251569,Not Sig,False
47,0.856607555,5.291505209,9.453511998,0.002107452,0.011927406,Not Sig,False
48,-0.234497039,7.001353143,1.131574592,0.287439725,0.442724748,Not Sig,False
49,-0.397103935,7.732533443,2.396035362,0.121643189,0.243572346,Not Sig,False
50,0.122703068,7.222272357,0.235140982,0.627737794,0.749638015,Not Sig,False
51,0.048177913,7.905192996,0.037347041,0.846760186,0.907062397,Not Sig,False
52,-0.030289634,5.660068519,0.011479416,0.914676298,0.948934881,Not Sig,False
53,-0.818247173,7.425173996,9.674810684,0.001868115,0.010898405,Not Sig,False
54,-0.472766024,5.710258708,3.799523501,0.051267171,0.129431086,Not Sig,False
55,0.482480893,6.899902273,4.375105544,0.036467572,0.1010944,Not Sig,False
56,0.003853064,6.818887785,0.000227166,0.987974718,0.993235489,Not Sig,False
57,-0.185924272,7.899993417,0.641711395,0.423091755,0.577476585,Not Sig,False
58,-0.077734342,6.178430231,0.107592231,0.742902176,0.836994152,Not Sig,False
59,-0.069907671,5.265965318,0.064406929,0.799661507,0.87589525,Not Sig,False
60,-0.757578066,7.293762776,10.7156657,0.001062322,0.007065591,Not Sig,False
61,0.027905444,7.854969244,0.01133685,0.915205772,0.949339645,Not Sig,False
62,0.243640993,6.943806943,1.011042235,0.314653281,0.468951763,Not Sig,False
63,-0.023155052,6.956778179,0.010656743,0.917779237,0.950851106,Not Sig,False
64,-0.633144276,6.90190551,6.689695573,0.009697176,0.03753455,Not Sig,False
65,-0.595292057,6.92421107,4.885336037,0.027085762,0.080070446,Not Sig,False
66,0.347261517,5.357580161,0.724886194,0.394545811,0.548996356,Not Sig,False
68,-0.429134673,5.970916769,2.74702713,0.097435439,0.205932098,Not Sig,False
69,0.895622812,2.816557603,6.978085324,0.008251384,0.033427426,Not Sig,False
70,-0.137378647,6.837215017,0.125316273,0.723338594,0.823747656,Not Sig,False
71,0.524372754,3.849635141,1.353737149,0.244625844,0.3964044,Not Sig,False
72,0.196884978,5.995307496,0.590116141,0.442374211,0.594778586,Not Sig,False
73,0.147549077,8.927937217,0.431464923,0.511271007,0.653989232,Not Sig,False
74,0.327802146,5.679710186,0.579741966,0.44641348,0.598438216,Not Sig,False
75,-0.053395797,5.227470798,0.033462522,0.854854795,0.91214854,Not Sig,False
76,-0.121203699,8.422827472,0.301469379,0.582962715,0.714700961,Not Sig,False
77,-0.121506362,5.754794031,0.238361629,0.625391945,0.747880083,Not Sig,False
78,0.269947507,6.131935103,0.916125739,0.338494287,0.491686223,Not Sig,False
79,0.463774233,5.238995044,2.634915196,0.104537643,0.217170579,Not Sig,False
80,0.155904731,5.90104395,0.333327334,0.563706371,0.69798001,Not Sig,False
81,1.907450348,6.54939309,38.90946471,4.43923E-10,2.24066E-08,Up,False
82,0.023944674,8.63116299,0.00966489,0.921686002,0.953159571,Not Sig,False
83,-0.481112058,6.411797304,4.016895587,0.045046558,0.117379445,Not Sig,False
84,-0.051859094,7.383670121,0.054869065,0.814797525,0.886775623,Not Sig,False
85,-0.090708226,4.582822553,0.088852856,0.765640608,0.853849283,Not Sig,False
86,-0.429471371,4.890121622,1.94333749,0.163306612,0.298789539,Not Sig,False
87,-0.484203397,7.29323723,3.867529653,0.04922893,0.125400347,Not Sig,False
88,-0.062494369,7.517144452,0.05766159,0.810230813,0.883911745,Not Sig,False
89,-0.93658905,6.776684222,16.10280142,5.99952E-05,0.000735265,Not Sig,False
90,-0.276089548,4.811002435,0.971277847,0.324361694,0.479332159,Not Sig,False
91,0.033151205,6.878680857,0.016127349,0.898945542,0.938904802,Not Sig,False
92,-0.255144925,3.020619132,0.616369953,0.432399441,0.585526588,Not Sig,False
93,0.179951056,5.364346088,0.328558002,0.566509425,0.700325693,Not Sig,False
94,0.736670281,5.999328418,7.285197292,0.006952509,0.029443381,Not Sig,False
95,0.800121393,5.568268484,10.41215126,0.001251888,0.008084775,Not Sig,False
96,-0.220526527,8.467234046,0.857982334,0.354303938,0.508151343,Not Sig,False
97,0.11241866,8.168692025,0.248250642,0.618309556,0.741753753,Not Sig,False
98,0.470346865,8.638904684,4.32066463,0.037652213,0.103327499,Not Sig,False
99,0.801029643,7.43056167,10.57584201,0.001145751,0.007499659,Not Sig,False
100,-0.082240576,6.476714612,0.123043288,0.725756954,0.824767826,Not Sig,False
101,-0.029060966,6.724363484,0.016724281,0.897102554,0.937842406,Not Sig,False
102,-0.459796131,7.213346457,4.193185951,0.040586755,0.109095916,Not Sig,False
103,-0.37547196,8.131282468,2.129275561,0.144509039,0.274438292,Not Sig,False
104,0.249879657,9.344357084,1.151074185,0.283324398,0.439099621,Not Sig,False
105,-0.899468303,9.411693024,13.95266856,0.000187471,0.0018249,Not Sig,False
106,-0.488996335,8.669216609,4.291461373,0.038304228,0.104695152,Not Sig,False
107,-0.138715259,7.498943775,0.261050817,0.609399147,0.735857839,Not Sig,False
108,-0.813848749,9.018088348,7.40717106,0.00649644,0.028034667,Not Sig,False
109,0.874474675,8.004144058,15.20823684,9.62825E-05,0.001089816,Not Sig,False
110,-0.235537987,7.745136474,1.064482883,0.302194966,0.456690498,Not Sig,False
111,-0.591596439,8.110991464,6.170503944,0.01298976,0.046708299,Not Sig,False
112,-0.195529453,8.272844967,0.706617059,0.400569159,0.555449379,Not Sig,False
113,-0.656597754,7.187083855,6.962846421,0.008321954,0.03362293,Not Sig,False
114,-0.926401255,6.044147207,12.59928566,0.000385894,0.003264313,Not Sig,False
115,-0.40168685,8.613171397,3.240221946,0.071850904,0.166471289,Not Sig,False
116,-0.548863725,8.249200909,5.809887745,0.015936311,0.054403821,Not Sig,False
117,-0.858948711,7.071074689,14.78986707,0.00012018,0.00127555,Not Sig,False
118,-0.188914133,7.405554366,0.424322453,0.514788066,0.656516168,Not Sig,False
119,-0.619633616,6.681703293,6.310230043,0.012004326,0.044024478,Not Sig,False
120,-0.401771636,7.509887609,2.605004806,0.106526835,0.220367884,Not Sig,False
121,0.032712205,7.667775253,0.010368051,0.918896673,0.951574761,Not Sig,False
122,-0.313780216,8.061120816,1.680251978,0.194890974,0.338858662,Not Sig,False
123,-0.357912413,6.424792626,2.387465174,0.122311812,0.244122053,Not Sig,False
124,-0.334641399,5.705090462,1.91689342,0.166199533,0.302641265,Not Sig,False
125,-0.697856751,6.537720974,7.871125256,0.005023039,0.023002006,Not Sig,False
126,-0.090083741,5.435342723,0.086759464,0.768337972,0.855307766,Not Sig,False
127,-0.343754767,8.19312435,1.888772186,0.169340472,0.305908265,Not Sig,False
128,-0.639354315,7.314447465,7.284009344,0.006957109,0.029444558,Not Sig,False
129,-0.224732871,8.301108776,1.018388028,0.312901679,0.466749571,Not Sig,False
130,-0.274601357,7.495140233,1.465063828,0.226126128,0.37746777,Not Sig,False
131,-0.442088995,7.513985922,1.671205977,0.196097082,0.34017452,Not Sig,False
132,-0.460659158,7.239904375,3.966280268,0.04642021,0.120040724,Not Sig,False
133,-0.389144646,8.538383314,2.484287297,0.114988426,0.233889891,Not Sig,False
134,-0.330042202,8.869971054,1.81580198,0.177813792,0.316681438,Not Sig,False
135,0.060656726,7.727528719,0.061958928,0.803426143,0.879303845,Not Sig,False
136,0.410276442,6.257828854,3.028202429,0.081828627,0.182156244,Not Sig,False
137,0.772149646,7.442036496,9.480996515,0.002076112,0.011798686,Not Sig,False
139,-0.397631892,8.146270242,2.986175403,0.083978296,0.185547376,Not Sig,False
140,-0.832647502,8.363428175,12.06393062,0.000514068,0.004078185,Not Sig,False
141,-0.689996998,9.025802705,7.174750897,0.007393671,0.030832605,Not Sig,False
