global_id,mfi-auc-1,mfi-auc-2,mfi-auc-3,foldexp-auc-1,foldexp-auc-2,foldexp-auc-3
scFv,16.13299335,15.04595411,15.05005673,18.56120219,12.73208,11.05882766
Control,5.116882441,5.066520794,5.149764937,3.0268871,2.52010796,2.480392165
1304,3.572290367,3.554625886,3.600088,3.19734727,2.905897945,2.871177625
1506,8.691190557,9.385250045,8.913928564,6.292534975,6.03140831,5.53770683
1892,3.679892571,2.653912745,3.812285568,3.691127695,2.779218845,2.570382005
2383,7.201320585,7.479726175,7.260499012,4.14042484,4.355713635,4.091208315
3109,3.218624296,3.424913166,3.441436782,3.189058725,2.846208375,3.016105415
3494,10.58225692,11.27941957,10.97801607,5.7495768,5.75543274,5.539402265
3718,11.50327936,11.09503601,11.26734139,5.893030415,5.917046775,5.10671481
5300,13.30190447,14.03892045,12.77776482,5.07002929,4.74077221,4.76986833
5624,6.381157457,6.493677272,6.211666887,3.55061772,3.50599619,3.319810185
5981,12.49119403,11.65650162,12.3776759,6.424501425,5.409677425,5.99150943
