global_id,E:T=(X:1),ratio,mfi-1,mfi-2,mfi-3,mfi-norm-1,mfi-norm-2,mfi-norm-3,mfi-auc-1,mfi-auc-2,mfi-auc-3,count-1,count-2,count-3,foldexp-1,foldexp-2,foldexp-3,foldexp-auc-1,foldexp-auc-2,foldexp-auc-3
scFv,1:00,0.00,141,128,142,1,1,1,16.13299335,15.04595411,15.05005673,,,,1.37027322,0.8828334,0.87911934,18.56120219,12.73208,11.05882766
scFv,4:01,0.25,31.2,30.6,42.6,4.519230769,4.183006536,3.333333333,,,,,,,4.2,2.9826785,2.06015987,,,
scFv,1:01,1.00,20.1,19.6,20.1,7.014925373,6.530612245,7.064676617,,,,,,,8.58491803,5.98943811,5.58140513,,,
scFv,1:04,4.00,17.2,16.7,17.1,8.197674419,7.664670659,8.304093567,,,,,,,10.1822951,6.63709337,5.95540597,,,
Control,1:00,0.00,113,113,119,1,1,1,5.116882441,5.066520794,5.149764937,,,,1.16599866,0.94224022,0.92501325,3.0268871,2.52010796,2.480392165
Control,4:01,0.25,76.5,77,66.1,1.477124183,1.467532468,1.800302572,,,,,,,0.6753507,0.54898785,0.49602544,,,
Control,1:01,1.00,56.1,59.1,74.4,2.01426025,1.912013536,1.599462366,,,,,,,1.09819639,1.01214575,0.95230525,,,
Control,1:04,4.00,50.2,47.6,47.6,2.250996016,2.37394958,2.5,,,,,,,1.34068136,0.9757085,1.1391097,,,
1304,1:00,0.00,154,159,163,1,1,1,3.572290367,3.554625886,3.600088,,,,1.14951768,0.94764745,0.93038386,3.19734727,2.905897945,2.871177625
1304,4:01,0.25,147,153,147,1.047619048,1.039215686,1.108843537,,,,,,,0.78938907,0.77468522,0.67469096,,,
1304,1:01,1.00,122,123,129,1.262295082,1.292682927,1.263565891,,,,,,,1.20900322,1.08813784,1.14443722,,,
1304,1:04,4.00,101,110,112,1.524752475,1.445454545,1.455357143,,,,,,,1.24839228,1.13850232,1.17371503,,,
1506,1:00,0.00,96.5,103,101,1,1,1,8.691190557,9.385250045,8.913928564,,,,1.07963996,1.01639495,0.91751892,6.292534975,6.03140831,5.53770683
1506,4:01,0.25,59.5,56.2,66.1,1.621848739,1.832740214,1.527987897,,,,,,,1.53478133,1.37247859,1.04814168,,,
1506,1:01,1.00,26.1,26.2,26.8,3.697318008,3.93129771,3.768656716,,,,,,,2.27296742,2.01906604,2.15739586,,,
1506,1:04,4.00,16.8,16.5,16.2,5.744047619,6.242424242,6.234567901,,,,,,,3.88993249,4.26333241,3.74681966,,,
1892,1:00,0.00,148,103,150,1,1,1,3.679892571,2.653912745,3.812285568,,,,1.32504146,0.95289207,0.83621141,3.691127695,2.779218845,2.570382005
1892,4:01,0.25,143,139,133,1.034965035,0.741007194,1.127819549,,,,,,,0.98134328,0.66547406,0.64678179,,,
1892,1:01,1.00,114,116,103,1.298245614,0.887931034,1.45631068,,,,,,,1.41791045,1.12969589,1.1389325,,,
1892,1:04,4.00,87.4,98.1,103,1.693363844,1.049949032,1.45631068,,,,,,,1.25870647,1.01520572,0.73312402,,,
2383,1:00,0.00,115,118,115,1,1,1,7.201320585,7.479726175,7.260499012,,,,1.02281046,1.01663094,0.96277839,4.14042484,4.355713635,4.091208315
2383,4:01,0.25,95.7,106,97.8,1.201671891,1.113207547,1.175869121,,,,,,,1.14137255,1.19879166,0.92284976,,,
2383,1:01,1.00,46.2,42,42,2.489177489,2.80952381,2.738095238,,,,,,,1.25784314,1.50555447,1.53580657,,,
2383,1:04,4.00,19.1,19.3,20.2,6.020942408,6.113989637,5.693069307,,,,,,,2.45960784,2.28610407,2.30232558,,,
3109,1:00,0.00,147,154,155,1,1,1,3.218624296,3.424913166,3.441436782,,,,1.07803701,0.94968108,0.98096633,3.189058725,2.846208375,3.016105415
3109,4:01,0.25,154,156,150,0.954545455,0.987179487,1.033333333,,,,,,,1.22204344,0.97306875,1.26390922,,,
3109,1:01,1.00,132,122,125,1.113636364,1.262295082,1.24,,,,,,,0.82662912,0.64918498,0.69692533,,,
3109,1:04,4.00,113,114,116,1.300884956,1.350877193,1.336206897,,,,,,,1.20273532,1.49822821,1.1295754,,,
3494,1:00,0.00,145,148,146,1,1,1,10.58225692,11.27941957,10.97801607,,,,1.00765438,1.0294759,0.96503842,5.7495768,5.75543274,5.539402265
3494,4:01,0.25,105,97.6,99,1.380952381,1.516393443,1.474747475,,,,,,,1.16515787,1.05865103,1.10150137,,,
3494,1:01,1.00,32.5,30.8,31.7,4.461538462,4.805194805,4.605678233,,,,,,,2.21550011,2.15880893,2.21463311,,,
3494,1:04,4.00,17.1,16.6,16.6,8.479532164,8.915662651,8.795180723,,,,,,,3.73018326,4.04646966,3.48149715,,,
3718,1:00,0.00,101,102,103,1,1,1,11.50327936,11.09503601,11.26734139,,,,1.05088155,1.08021651,0.89072765,5.893030415,5.917046775,5.10671481
3718,4:01,0.25,57.4,67.7,67.7,1.759581882,1.506646972,1.521418021,,,,,,,1.18494853,1.03794928,1.01700015,,,
3718,1:01,1.00,20.2,21.4,21.1,5,4.76635514,4.881516588,,,,,,,2.14039759,2.10800949,1.93169851,,,
3718,1:04,4.00,11.9,11.8,11.8,8.487394958,8.644067797,8.728813559,,,,,,,4.08448704,4.4619595,3.42530465,,,
5300,1:00,0.00,127,128,130,1,1,1,13.30190447,14.03892045,12.77776482,,,,1.04523882,0.97715472,0.98048688,5.07002929,4.74077221,4.76986833
5300,4:01,0.25,42.8,38.3,54.3,2.96728972,3.342036554,2.394106814,,,,,,,0.84489549,0.87397338,0.76214834,,,
5300,1:01,1.00,20.2,19.7,21,6.287128713,6.497461929,6.19047619,,,,,,,2.18418661,2.11809686,2.22961068,,,
5300,1:04,4.00,17.9,17.3,17.6,7.094972067,7.398843931,7.386363636,,,,,,,3.03665556,2.52024922,2.57573174,,,
5624,1:00,0.00,98.6,93.9,96.4,1,1,1,6.381157457,6.493677272,6.211666887,,,,1.04713391,0.97487054,0.98112794,3.55061772,3.50599619,3.319810185
5624,4:01,0.25,72.6,68.7,75.4,1.358126722,1.366812227,1.278514589,,,,,,,1.06762691,1.00539657,0.92626728,,,
5624,1:01,1.00,41.6,36.7,38.6,2.370192308,2.558583106,2.497409326,,,,,,,1.26137362,1.30809485,1.30365372,,,
5624,1:04,4.00,22.9,22.7,24.9,4.305676856,4.136563877,3.871485944,,,,,,,1.39610047,1.410139,1.19865043,,,
5981,1:00,0.00,150,146,159,1,1,1,12.49119403,11.65650162,12.3776759,,,,1.01234568,0.98248848,1.00566038,6.424501425,5.409677425,5.99150943
5981,4:01,0.25,47.8,50.8,56.6,3.138075314,2.874015748,2.809187279,,,,,,,1.55365622,1.34930876,1.3245283,,,
5981,1:01,1.00,28.4,29.5,29.7,5.281690141,4.949152542,5.353535354,,,,,,,2.94017094,2.48479263,2.78396226,,,
5981,1:04,4.00,21,21.9,21.4,7.142857143,6.666666667,7.429906542,,,,,,,2.84900285,2.16866359,2.76037736,,,
