global_id,cytotox-norm,cytokine-norm,ctv-norm,exp-norm,final_score,Rank,final_score_all,Rank
scFv,1,1,1,1,3,0,4,0
Control,0,0,0,0,0,0,0,0
1304,-0.827262965,-0.037398374,-0.139581956,0.017385973,-0.847275366,10,-0.986857322,9
1506,0.668262562,1.006504065,0.483068807,0.310671071,1.985437698,1,2.468506504,2
1892,-0.639625934,-0.011382114,-0.153757411,0.012250068,-0.63875798,8,-0.792515391,8
2383,0.579220547,0.071544715,0.35024155,0.130779583,0.781544845,5,1.131786395,6
3109,-1.371783972,-0.017886179,-0.159525985,-0.003699887,-1.393370039,9,-1.552896024,10
3494,0.198867958,0.284552846,0.766411663,0.294965046,0.77838585,6,1.544797513,5
3718,0.272047966,0.427642276,0.786703832,0.299032568,0.998722811,4,1.785426642,4
5300,0.115172938,1.630894309,0.858040964,0.214453926,1.960521173,2,2.818562137,1
5624,-0.218443778,0.079674797,0.190912856,0.04597725,-0.092791732,7,0.098121125,7
5981,0.015996241,1.034146341,0.731764674,0.2682405,1.318383083,3,2.050147758,3
