autoregwithoutseq_proteinmpnn,autoregwithoutseq_solublempnn,autoregwithseq_proteinmpnn,autoregwithseq_solublempnn,singleaascorewithoutseq_proteinmpnn,singleaascorewithoutseq_solublempnn,singleaascorewithseq_proteinmpnn,singleaascorewithseq_solublempnn,global_id
0.091123894,0.11922405,0.23739886,0.23405106,0.27361947,0.2712682,0.2012155,0.1936908,1
0.07840572,0.11318062,0.2039878,0.20018461,0.24423504,0.2427907,0.17116822,0.16407588,2
0.09267089,0.11532043,0.20085189,0.19813544,0.214112,0.21736638,0.1914902,0.18363796,3
0.08996672,0.08965886,0.18946385,0.17475712,0.21539195,0.20645094,0.15708219,0.14765401,4
0.08512299,0.11520294,0.20438495,0.2146298,0.2254006,0.24406321,0.18838218,0.19382736,5
0.10664831,0.12509228,0.22166188,0.20959572,0.24744864,0.22028378,0.19401178,0.1966661,6
0.072511755,0.091304645,0.20092945,0.17923689,0.2282724,0.20698722,0.16678888,0.14957187,7
0.083239295,0.10813554,0.2542101,0.22443187,0.2830492,0.25121304,0.22024341,0.19766758,8
0.09873061,0.099532016,0.17475384,0.17831089,0.19057226,0.20187314,0.16148159,0.1590836,9
0.10032431,0.10464849,0.17695357,0.1689611,0.19151722,0.18725081,0.16619626,0.15213369,10
0.073037885,0.10429046,0.20240574,0.19909933,0.23027413,0.22910576,0.17983875,0.17819716,11
0.075984225,0.107713364,0.21476483,0.21666236,0.2533725,0.25538862,0.17981543,0.17527544,12
0.07305188,0.090155974,0.17330281,0.18622449,0.19727668,0.21467349,0.148177,0.16323695,13
0.07113435,0.10042472,0.15168649,0.1599643,0.17216307,0.17646548,0.13621993,0.1459267,14
0.09461359,0.099432595,0.18687452,0.17881656,0.21109131,0.20243025,0.16690725,0.15869205,15
0.08796458,0.10791266,0.2125487,0.20313816,0.22505733,0.21609183,0.19657949,0.18543626,16
0.071167216,0.09411065,0.22619453,0.2151078,0.26312214,0.25832516,0.19244146,0.17392975,17
0.0843825,0.11396806,0.23907964,0.23606062,0.2645413,0.26245946,0.21700485,0.21284239,18
0.07257501,0.100957334,0.18186164,0.18594864,0.19143596,0.19941142,0.17146823,0.17194328,19
0.09368476,0.08175801,0.12513664,0.11651112,0.14116433,0.1283777,0.107620716,0.10116385,20
0.115758225,0.14956188,0.34302,0.32067397,0.3599455,0.3408617,0.33117482,0.30506712,21
0.10718906,0.14420609,0.3408137,0.31543675,0.36739367,0.3365459,0.3157023,0.29079938,22
0.11277604,0.16458786,0.3392825,0.3194652,0.3571398,0.33778194,0.31930608,0.29962018,23
0.105751775,0.13404296,0.32220525,0.30595365,0.335035,0.329195,0.3110843,0.28941616,24
0.10911784,0.13825041,0.3099091,0.3152829,0.31303462,0.31727523,0.30376083,0.31257463,25
0.09479976,0.11941614,0.29449058,0.29038587,0.29494026,0.2971497,0.29705495,0.287424,26
0.09956064,0.14099887,0.32515532,0.30497423,0.33956343,0.3320755,0.31159014,0.277847,27
0.105215095,0.13684526,0.32381186,0.3116498,0.34000462,0.332692,0.30745786,0.29409748,28
0.09966978,0.123693965,0.34152547,0.3136644,0.36006695,0.3340816,0.31322518,0.2888759,29
0.10197499,0.14386928,0.3455317,0.32159266,0.36848402,0.3379676,0.3212069,0.3060189,30
0.09806518,0.13101453,0.32048458,0.30100423,0.3404341,0.32448202,0.30215162,0.28005183,31
0.09636544,0.12589113,0.30227268,0.2653349,0.3210135,0.28618222,0.28320602,0.24776807,32
0.10666762,0.14285798,0.3513729,0.33195361,0.37007692,0.34719354,0.33476967,0.30943826,33
0.10755839,0.13876636,0.34106404,0.3170677,0.35458416,0.3281229,0.32997423,0.3036307,34
0.09605906,0.12534949,0.2704821,0.26106757,0.2815106,0.27469638,0.2575707,0.24751985,35
0.099813245,0.1277576,0.32390317,0.29520893,0.3460943,0.31821755,0.3070461,0.27460146,36
0.10876193,0.14504007,0.34355816,0.32478613,0.3687407,0.3415468,0.3205248,0.30292273,37
0.097288474,0.13915175,0.33654565,0.32073873,0.35668817,0.34158695,0.32081407,0.3016099,38
0.09566963,0.13527226,0.3110451,0.29690343,0.33117273,0.31033587,0.29532784,0.28097188,39
0.10348316,0.14547211,0.36650145,0.33911487,0.39835906,0.3645442,0.33777887,0.3121331,40
0.13228881,0.17153615,0.36960822,0.35840267,0.3842831,0.3675341,0.34846297,0.3420043,41
0.13030694,0.17671882,0.37441653,0.34795707,0.38440746,0.35140473,0.35944787,0.33873835,42
0.091855004,0.122061215,0.27830175,0.2581757,0.29495183,0.2721276,0.26041567,0.24227396,43
0.101665735,0.14037243,0.31483155,0.30062735,0.32896978,0.31132942,0.30286902,0.28795546,44
0.09448087,0.13206494,0.33632183,0.3141253,0.35801023,0.3349486,0.3148659,0.2935626,45
0.09652938,0.12368047,0.29805547,0.27991316,0.31764725,0.29227796,0.28108078,0.26656422,46
0.11434086,0.16277201,0.36087662,0.34519646,0.38843077,0.37022817,0.33810425,0.32122093,47
0.102526546,0.13128203,0.31217054,0.29710165,0.33589876,0.31181407,0.28658456,0.27406293,48
0.10258558,0.1472837,0.36336178,0.34486058,0.3930192,0.37632638,0.33904773,0.31846872,49
0.10610523,0.13499083,0.3378043,0.29689392,0.34276062,0.3131302,0.32658467,0.27939466,50
0.11393632,0.15583527,0.3310983,0.30677497,0.34534267,0.31621483,0.31117624,0.29696575,51
0.11252185,0.14672199,0.33446276,0.31793246,0.34432736,0.32590488,0.3186207,0.30714306,52
0.100021385,0.12613487,0.3026445,0.2747478,0.30940378,0.28053886,0.3024587,0.26976973,53
0.112491176,0.14999738,0.33367306,0.30607212,0.338062,0.31208226,0.33276454,0.3045203,54
0.12767524,0.14915374,0.3831262,0.36435562,0.4048884,0.37624967,0.36465874,0.34894115,55
0.118709825,0.15555039,0.35903805,0.32841057,0.36772886,0.33967856,0.34961587,0.315576,56
0.109168015,0.1423812,0.37442824,0.35361713,0.39064506,0.37665418,0.35164124,0.3290378,57
0.104301274,0.14679828,0.36467263,0.34455302,0.3922268,0.37859765,0.3394549,0.31624442,58
0.11711206,0.17087997,0.37257773,0.34455216,0.39176854,0.36371306,0.35907698,0.32545608,59
0.10521726,0.15508716,0.38236195,0.34557426,0.41042733,0.3668442,0.3530587,0.31855676,60
0.106794015,0.13795766,0.3346747,0.29606846,0.37270373,0.33169895,0.2995249,0.2642364,61
0.10971606,0.14243695,0.31724504,0.29652944,0.35306358,0.33045164,0.28635857,0.26724204,62
0.097983435,0.13396415,0.30851927,0.2997512,0.33349806,0.32824928,0.2854502,0.2744378,63
0.10250002,0.14018467,0.3145131,0.2914099,0.33703214,0.31358665,0.29352123,0.27596858,64
0.11073305,0.14494613,0.34699646,0.32311144,0.36511204,0.33658543,0.32851472,0.31368384,65
0.098114744,0.13402697,0.33253095,0.31935623,0.35222965,0.3355072,0.31656435,0.30027407,66
0.10502279,0.1419619,0.34512353,0.32331187,0.3598884,0.3369069,0.32884791,0.310814,67
0.101683676,0.13292459,0.34636426,0.31799757,0.36648697,0.34035444,0.32493225,0.29375574,68
0.09031521,0.13202535,0.32661933,0.29976496,0.35682747,0.3320858,0.29937476,0.2718092,69
0.102168605,0.15035896,0.3450997,0.3198413,0.3724692,0.34208685,0.32139483,0.2980197,70
0.10204475,0.1391112,0.33267587,0.31182435,0.36043563,0.33992475,0.31213617,0.28946513,71
0.103317454,0.14863136,0.3527081,0.33113813,0.3782316,0.35292116,0.3365587,0.31647164,72
0.09004398,0.12561278,0.31993526,0.2897132,0.34607264,0.3155254,0.29260004,0.26784998,73
0.10107897,0.14167984,0.34117883,0.32204866,0.37315086,0.34911156,0.30696598,0.29351315,74
0.09022398,0.1366734,0.3290105,0.2977023,0.3608405,0.32277164,0.2926454,0.2679382,75
0.08951366,0.13472372,0.32833824,0.29044572,0.35947284,0.32490844,0.29514444,0.25932753,76
0.117142096,0.14834706,0.36654466,0.34076792,0.38204178,0.35745138,0.35028982,0.31967574,77
0.0971296,0.1350908,0.34484538,0.32684737,0.36504138,0.34686586,0.3186174,0.3043701,78
0.111619934,0.16141935,0.38085622,0.33802348,0.40333718,0.36178082,0.35696274,0.31383213,79
0.09876439,0.13046198,0.31152147,0.28528666,0.33527192,0.2923036,0.2874455,0.27531773,80
0.09538391,0.13266098,0.35818988,0.3318392,0.37351805,0.34102443,0.33374506,0.3152315,81
0.090075746,0.13082764,0.32174748,0.2955553,0.33877394,0.31823942,0.2954742,0.271932,82
0.10179941,0.13258341,0.3267941,0.30111933,0.354599,0.32564697,0.3012683,0.2778611,83
0.1055416,0.13524978,0.3351298,0.32356656,0.35991672,0.35215512,0.31488687,0.2997542,84
0.0991779,0.1390993,0.33394578,0.32616693,0.37094456,0.35599774,0.30271932,0.29628947,85
0.11047898,0.14121236,0.30689996,0.28960165,0.32257172,0.31551588,0.28850675,0.2670086,86
0.09826319,0.15739909,0.3342495,0.3212475,0.3698864,0.3475676,0.30194014,0.29289994,87
0.10469971,0.13476516,0.3381621,0.32766336,0.3600499,0.34997052,0.31675807,0.3037352,88
0.10102496,0.11963685,0.2870931,0.2686877,0.30334824,0.2907403,0.2705781,0.2454648,89
0.08780635,0.12687445,0.27951849,0.277262,0.2951345,0.2838111,0.26385337,0.2701872,90
0.09669825,0.14350513,0.3484313,0.32323843,0.378092,0.34955114,0.31917903,0.29887494,91
0.10691921,0.14190724,0.34423923,0.30081323,0.37281877,0.32399946,0.322854,0.2812069,92
0.11661823,0.13631462,0.36249423,0.32192144,0.3914907,0.34017596,0.33828324,0.30408317,93
0.101202294,0.13350278,0.3269552,0.30108303,0.35164353,0.3180849,0.30005467,0.27540192,94
0.090578154,0.12787697,0.33062583,0.31110957,0.35195303,0.33273283,0.30610517,0.2867516,95
0.11173544,0.14467028,0.35770467,0.3313023,0.38061032,0.35158798,0.33786014,0.3141641,96
0.116863966,0.1502455,0.36318216,0.34737784,0.37257463,0.3570963,0.3552012,0.33869413,97
0.1054037,0.14026335,0.34803316,0.32109773,0.36210734,0.33593643,0.3321469,0.30527726,98
0.10622996,0.15302642,0.35235804,0.32796544,0.3749345,0.35173863,0.32573274,0.30401126,99
0.0955822,0.13131699,0.31388685,0.29027918,0.33278757,0.31086394,0.2922148,0.26983458,100
0.13686292,0.14764686,0.3447497,0.32063088,0.3725271,0.33929402,0.3184996,0.29694888,101
0.13414542,0.13797352,0.32095248,0.291839,0.33003655,0.29234433,0.31113246,0.28430998,102
0.1291621923446655,0.1558127701282501,0.3317111134529114,0.3267876505851745,0.3486086726188659,0.3479781746864319,0.3218443691730499,0.3064643442630768,103
0.1360593,0.13810216,0.31967366,0.30458936,0.34574172,0.3438391,0.2919019,0.266696,104
0.1467877030372619,0.161867469549179,0.3947473466396332,0.3747697174549103,0.4339040219783783,0.4126266539096832,0.3576081395149231,0.338217556476593,105
0.1572785079479217,0.1593476384878158,0.3631852269172668,0.3599513173103332,0.3893426954746246,0.3865158557891845,0.3339635133743286,0.3322969973087311,106
0.1266462653875351,0.1520910561084747,0.3678664565086365,0.3550215661525726,0.4043379426002502,0.3767096400260925,0.3337233960628509,0.3393179178237915,107
0.1331592947244644,0.1543153077363968,0.3458296060562134,0.3446078896522522,0.3652594089508056,0.3597163558006286,0.3231832087039947,0.3261821568012237,108
0.1312239617109298,0.1442721784114837,0.3777894675731659,0.3628557026386261,0.4236824512481689,0.4085985124111175,0.3381684124469757,0.3181876540184021,109
0.12754388,0.1593332,0.35432357,0.3388462,0.38040727,0.36923042,0.32653,0.3058143,110
0.1288850903511047,0.1424300670623779,0.3649713695049286,0.3302502036094665,0.3954087495803833,0.3597976565361023,0.3413774073123932,0.3028328120708465,111
0.13689451,0.14909972,0.37924132,0.35960782,0.4167261,0.39843184,0.3466445,0.33002514,112
0.13106133,0.14961505,0.33925033,0.3173133,0.35812518,0.34576294,0.31636298,0.29308802,113
0.126682698726654,0.1394230425357818,0.2916049659252167,0.2945151627063751,0.2969513237476349,0.2972060143947601,0.2805530726909637,0.2862092554569244,114
0.12908824,0.14442925,0.34962246,0.33004653,0.37606868,0.3606965,0.32336396,0.30129418,115
