metric,mi_vs_leah_12k_measured,num_non_nan,num_nan
esm2_full_LL_target,0.09072213729787504,5893,0
esm2_binder_LL_target,0.08934789550950728,5893,0
esm2_pll,0.08618800049017916,5892,1
esm2_binder_LL_car_target,0.08398257680003263,5893,0
esm2_full_LL_car_target,0.08097442539001398,5893,0
esm2_full_LL_alone,0.07358602892190036,5893,0
esm2_full_LL_car,0.07138451318783878,5893,0
esm2_binder_LL_car,0.07068666399498102,5893,0
max_pident_cross_team_hamming,0.06890188378301887,5893,0
max_pident_within_team_mmseqs,0.056834912220548706,5893,0
boltz_sap_score,0.04781020464590657,5872,21
esmfold_plddt_binder_start,0.04363618202065389,5893,0
esmfold_plddt_binder_middle,0.0397193716875508,5893,0
esmfold_z_axis_displacement_start_glycine_linker,0.037194467687061694,5893,0
closest_ab_pident,0.03687539960086461,5893,0
esmfold_plddt_binder_end,0.03660093649052154,5893,0
esmfold_z_axis_displacement_end,0.035423375357198195,5893,0
boltz_rosetta_A_BC_complex_normalized,0.03527688851520416,5369,524
boltz_rosetta_complex_normalized,0.03527688851520416,5369,524
esmfold_plddt_binder_start_glycine_linker,0.03451775404335056,5893,0
esmfold_plddt_binder_end_glycine_linker,0.03409069673572285,5893,0
boltz_rosetta_A_C_complex_normalized,0.03289951800107915,4741,1152
msa_depth,0.031832371167246354,5893,0
esmfold_plddt_binder_middle_glycine_linker,0.030862205398434428,5893,0
esmfold_plddt_hotspot_start,0.030595315235486975,5893,0
esmfold_end_glycine_linker_C_B_pdockq2,0.029539066718581752,5893,0
esmfold_z_axis_displacement_start,0.02890030713179015,5893,0
boltz_rosetta_A_B_complex_normalized,0.028399926888139637,5054,839
esmfold_end_C_B_pdockq2,0.02743174927930081,5893,0
esmfold_z_axis_displacement_middle_glycine_linker,0.02683653723072643,5893,0
esmfold_middle_glycine_linker_B_C_pdockq2,0.025619338181778195,5893,0
esmfold_start_glycine_linker_A_B_pdockq2,0.025573964988842457,5893,0
esmfold_ipae_middle_glycine_linker,0.025547515810804944,5893,0
max_pident_within_team_hamming,0.025532240332015066,5893,0
tlimmuno2_13mer_min_rank,0.025096989405427372,5893,0
esmfold_end_C_B_pdockq2_max,0.02480118626900496,5893,0
boltz_rosetta_A_BC_side1_score,0.023343174243806164,5872,21
boltz_rosetta_side1_score,0.023343174243806164,5872,21
