features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Detected (Down),roc_auc_4class_Detected (Not Sig),roc_auc_4class_Detected (Up),roc_auc_4class_Not Detected
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",6,0.9353220107046742,0.9166245207602577,0.8563540604825008,0.8779133299626507,0.7200607359771347,0.8998042254670039
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",5,0.9347990481879366,0.9176074720613426,0.8592422697927286,0.8775585927943503,0.7120221507681315,0.9002120890774125
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",5,0.9342723671271239,0.9143486418141773,0.8574583758069997,0.87720385562605,0.7006430868167202,0.897271392446366
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'boltz_rosetta_A_BC_complex_normalized')",4,0.9340032797558742,0.9146504608858798,0.8598369011213047,0.8778073165560323,0.690907466952483,0.8980789623949751
"('gravy_score', 'aa_sequence_entropy', 'num_disulfide_within_chain', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",5,0.9332129201151937,0.9138959132066236,0.8518518518518519,0.8739541369693213,0.7062165058949625,0.8994126764010115
"('gravy_score', 'aa_sequence_entropy', 'num_disulfide_within_chain', 'boltz_rosetta_A_BC_complex_normalized')",4,0.9320500299680846,0.9106289256872502,0.8534658511722732,0.8729021577805687,0.6895141121829225,0.8962639693286566
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'esm2_full_LL_target')",4,0.9318548309872643,0.913424499512976,0.8128758591065293,0.8722377357189645,0.7065494862774482,0.899602435414147
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain', 'esm2_full_LL_target')",5,0.9317842095183377,0.9141042731571807,0.8184600515463918,0.8724934211282335,0.6993357802359694,0.9000968162462959
"('gravy_score', 'seq_kl_vs_human', 'num_disulfide_within_chain', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",5,0.931158593538455,0.9102822416184028,0.8504077471967381,0.8698726208145092,0.6971954269381921,0.8965943388530875
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human')",3,0.9303789619841042,0.9101963103887658,0.8098421391752577,0.8722506636329161,0.6819873252136807,0.8964772422966344
"('gravy_score', 'aa_sequence_entropy', 'esm2_full_LL_target', 'boltz_rosetta_A_BC_complex_normalized')",4,0.930237746805686,0.9147442695162737,0.8485389058783553,0.8683884331218501,0.6838692390139336,0.8962639693286565
"('gravy_score', 'aa_sequence_entropy', 'seq_kl_vs_human', 'num_disulfide_within_chain')",4,0.9301675763669444,0.9102728217080269,0.8155874140893471,0.8722420450236149,0.6736941033033186,0.8965449253867499
"('gravy_score', 'aa_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized')",3,0.9298675826454874,0.911938167876662,0.850407747196738,0.86922430805865,0.6637013219006789,0.8949547271392447
