features,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'boltz_sap_score')",3,0.9369141125706926,0.9177208835341365,0.7865404168784952,0.9144414066301081,0.8751301693050736,0.7558052434456929
"('dna_sequence_entropy', 'esm2_pll', 'boltz_rosetta_A_B_complex_normalized')",3,0.9368183223702705,0.9064657199285244,0.7580962800875274,0.9203940562400075,0.8785707547169812,0.6956056616194866
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'boltz_rosetta_A_BC_per_residue_energy_int')",3,0.9363159346966847,0.9174949799196788,0.7842526690391459,0.914686245397502,0.8739837523986688,0.7443953986088817
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esm2_full_LL_alone')",3,0.936114398642123,0.9088587976180766,0.8363064899762147,0.9157353780895668,0.8688084093096081,0.7115398356555914
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esm2_full_LL_alone')",3,0.936114398642123,0.9088587976180766,0.8363064899762147,0.9157353780895668,0.8688084093096081,0.7115398356555914
"('dna_sequence_entropy', 'boltz_sap_score', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9360739866753564,0.9189915913654618,0.7914972038637519,0.9133082425912731,0.872658111285872,0.7521268057784911
"('dna_sequence_entropy', 'boltz_rosetta_complex_normalized', 'esmfold_plddt_binder_middle')",3,0.936067747816454,0.905167631943878,0.83936459395175,0.9109592952116812,0.8701865835956486,0.7093604858878171
"('dna_sequence_entropy', 'boltz_rosetta_A_BC_complex_normalized', 'esmfold_plddt_binder_middle')",3,0.936067747816454,0.905167631943878,0.83936459395175,0.9109592952116812,0.8701865835956486,0.7093604858878171
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle', 'boltz_sap_score')",3,0.9360263692456267,0.9148217871485943,0.76989069649212,0.9134463567677515,0.8736716550737446,0.7539459604066346
"('dna_sequence_entropy', 'esm2_pll', 'max_pident_cross_team_hamming')",3,0.9359550450951842,0.9194849876744638,0.8477605512489234,0.920546106963189,0.8691348613733881,0.7186154904108194
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_start')",3,0.9359149669635162,0.9186037272783453,0.8071305841924399,0.9133627019089574,0.8687385803426759,0.7545180914159438
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_start')",3,0.9358362060710523,0.9180269496408382,0.7714239690721649,0.9128388936463234,0.8693102814263224,0.7727428593200321
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_start')",3,0.9357847361869195,0.9180769762726628,0.7715313573883161,0.9128683210768085,0.8692844255984188,0.7710537344898971
