features,n_features,roc_auc_leah_12k_detected
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_start_glycine_linker')",3,0.9220831042616207
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_end_C_B_pdockq2')",3,0.9211431712983489
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_middle_glycine_linker')",3,0.9210249407369311
"('dna_sequence_entropy', 'esm2_pll', 'boltz_sap_score')",3,0.9197732846614086
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esm2_pll')",3,0.9194849876744638
"('dna_sequence_entropy', 'esmfold_plddt_binder_start_glycine_linker', 'boltz_sap_score')",3,0.9189915913654618
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_end')",3,0.918675108328752
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_end_glycine_linker')",3,0.9186485064524328
"('dna_sequence_entropy', 'esm2_full_LL_alone', 'esmfold_plddt_binder_start')",3,0.9186037272783453
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_end_glycine_linker_C_B_pdockq2')",3,0.9186012142278657
"('dna_sequence_entropy', 'esmfold_plddt_binder_middle_glycine_linker', 'boltz_sap_score')",3,0.9181789658634538
"('dna_sequence_entropy', 'esm2_full_LL_target', 'esmfold_plddt_binder_start')",3,0.9180769762726628
"('dna_sequence_entropy', 'esm2_binder_LL_target', 'esmfold_plddt_binder_start')",3,0.9180269496408382
"('dna_sequence_entropy', 'esm2_binder_LL_car_target', 'esmfold_plddt_binder_start')",3,0.9177856447108608
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'boltz_sap_score')",3,0.9177208835341365
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'total_duplicated_residues')",3,0.9175237405795438
"('dna_sequence_entropy', 'aa_sequence_entropy', 'esm2_pll')",3,0.9174662008382547
"('dna_sequence_entropy', 'esm2_full_LL_car_target', 'esmfold_plddt_binder_start')",3,0.9174325155450401
"('dna_sequence_entropy', 'max_pident_cross_team_hamming', 'esmfold_plddt_binder_start')",3,0.9174148590867491
"('dna_sequence_entropy', 'esm2_binder_LL_car', 'esmfold_plddt_binder_start')",3,0.9170205315182494
"('dna_sequence_entropy', 'esm2_pll', 'esmfold_plddt_binder_start')",3,0.9170198804689024
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'longest_dup_substr_len')",3,0.9169911040877643
"('dna_sequence_entropy', 'esm2_pll')",2,0.9169016499074846
"('dna_sequence_entropy', 'esm2_pll', 'seq_kl_vs_human')",3,0.9168543576829176
"('dna_sequence_entropy', 'esmfold_plddt_binder_start', 'esm2_full_LL_car')",3,0.9168263104770481
