metric,mi_vs_leah_12k_2fold_threshold_int,num_non_nan,num_nan
max_pident_cross_team_hamming,0.05214722061671262,6814,0
esm2_full_LL_car_target,0.040234975497013936,6814,0
esm2_full_LL_car,0.035787830583814184,6814,0
esm2_full_LL_alone,0.03483517217872656,6814,0
esm2_binder_LL_car,0.033348051412203095,6814,0
tlimmuno2_13mer_min_rank,0.0331547202772422,6814,0
esm2_pll,0.03151521835591664,6783,31
esm2_binder_LL_target,0.030566950267953974,6814,0
esm2_binder_LL_car_target,0.029377560589954,6814,0
esm2_full_LL_target,0.028871191162675114,6814,0
boltz_singleaascorewithoutseq_proteinmpnn,0.028150789660045028,6376,438
esmfold_plddt_hotspot_start,0.027130840350610752,6814,0
boltz_rosetta_A_BC_complex_normalized,0.027057269143447193,5331,1483
boltz_rosetta_complex_normalized,0.027057269143447193,5331,1483
chai1_z_axis_displacement_none,0.026870611941411493,6814,0
esmfold_ipae_start,0.0252315544502697,6814,0
boltz_singleaascorewithoutseq_solublempnn,0.024999781266640042,6376,438
esmfold_plddt_binder_start_glycine_linker,0.02461375212874306,6814,0
boltz_rosetta_A_C_complex_normalized,0.024588677039435014,4622,2192
boltz_singleaascorewithseq_proteinmpnn,0.024090930063124683,6376,438
boltz_autoregwithseq_solublempnn,0.023501220589524197,6376,438
chai1_plddt_binder_none,0.02333539544889196,6814,0
boltz_autoregwithseq_proteinmpnn,0.022874916526510525,6376,438
esmfold_ptm_middle,0.022460362658346833,6814,0
esmfold_plddt_binder_end,0.022274998170876303,6814,0
boltz_rosetta_A_B_complex_normalized,0.02212541912521626,4918,1896
boltz_singleaascorewithseq_solublempnn,0.02122730995672306,6376,438
esmfold_plddt_binder_middle_glycine_linker,0.021077137185802286,6814,0
esmfold_plddt_binder_middle,0.020734643955081733,6814,0
esmfold_z_axis_displacement_start_glycine_linker,0.020670134281432828,6814,0
esmfold_z_axis_displacement_start,0.020124351351431313,6814,0
max_pident_within_team_mmseqs,0.01883077359500418,6814,0
boltz_rosetta_side1_score,0.0186909062662155,6407,407
boltz_rosetta_A_BC_side1_score,0.0186909062662155,6407,407
boltz_hs_iplddt,0.0183177172855582,5670,1144
esmfold_end_C_B_pdockq2_max,0.018069629968342715,6814,0
boltz_rosetta_per_residue_energy_int,0.017552962817016127,6407,407
boltz_rosetta_A_BC_per_residue_energy_int,0.017552962817016127,6407,407
esmfold_start_A_C_pdockq2_max,0.01648284589694038,6814,0
esmfold_plddt_binder_start,0.016480004546328253,6814,0
esmfold_z_axis_displacement_middle_glycine_linker,0.01644478022083251,6814,0
esmfold_binder_below_membrane_start,0.015958744990311136,6814,0
esmfold_plddt_binder_end_glycine_linker,0.01566162150495365,6814,0
esmfold_end_glycine_linker_C_B_pdockq2_max,0.015550688707881788,6814,0
esmfold_end_glycine_linker_C_B_pdockq2,0.015364165903330118,6814,0
esmfold_ipae_end_glycine_linker,0.014799567726293539,6814,0
esmfold_ipae_end,0.014343470541830383,6814,0
boltz_plddt_binder_none,0.014322555826771444,6814,0
esmfold_start_A_C_pdockq,0.014033078352424955,6814,0
esmfold_start_A_C_pdockq_max,0.014033078352424955,6814,0
boltz_rosetta_A_B_side2_normalized,0.013897006718696092,4918,1896
chai1_rmsd_alone,0.013895553849476494,6814,0
chai1_ipae_none,0.013841054798524821,6814,0
esmfold_start_A_B_pdockq_max,0.013733701371872353,6814,0
esmfold_start_A_B_pdockq,0.013733701371872353,6814,0
esmfold_z_axis_displacement_end_glycine_linker,0.013658727854701125,6814,0
max_pident_within_team_hamming,0.013617350612158186,6814,0
esmfold_z_axis_displacement_end,0.01348895806220618,6814,0
chai1_binder_below_membrane_none,0.013312184718828224,6814,0
boltz_rosetta_A_B_side1_normalized,0.01321431236151649,4918,1896
boltz_A_C_pdockq2_max,0.012336617989668452,6814,0
esmfold_plddt_hotspot_end,0.012031637204805934,6814,0
esmfold_ptm_end_glycine_linker,0.011842449331953553,6814,0
boltz_rosetta_A_BC_dG_separated,0.011663526499653853,6407,407
esmfold_start_A_C_pdockq2,0.011647317497191612,6814,0
boltz_rosetta_dG_separated,0.01162450667758419,6407,407
esmfold_end_C_B_pdockq2,0.011588041639782887,6814,0
esmfold_n_hs_engaged_start,0.010913055242203429,6814,0
esmfold_binder_below_membrane_start_glycine_linker,0.010803511363097762,6814,0
esmfold_plddt_hotspot_middle,0.010597712519851754,6814,0
esmfold_start_glycine_linker_A_B_pdockq2_max,0.010506994000244685,6814,0
boltz_A_C_pdockq2,0.010505601601496384,6814,0
rnn_solubility,0.010504026789457388,6814,0
boltz_autoregwithoutseq_solublempnn,0.01049095635209274,6376,438
boltz_rosetta_A_BC_side1_normalized,0.010320491420972244,5331,1483
boltz_rosetta_side1_normalized,0.010320491420972244,5331,1483
esmfold_ptm_start,0.010102137518812837,6814,0
esmfold_binder_below_membrane_end,0.009919896903739511,6814,0
boltz_rosetta_A_B_side1_score,0.009728375596014915,6407,407
esmfold_z_axis_displacement_middle,0.009674971022788137,6814,0
closest_ab_pident,0.00957457648063409,6814,0
esmfold_end_glycine_linker_C_A_pdockq2,0.009570201458562355,6814,0
esmfold_binder_below_membrane_middle,0.009514566260017565,6814,0
esmfold_end_glycine_linker_C_B_pdockq,0.009258856250029979,6814,0
esmfold_end_glycine_linker_C_B_pdockq_max,0.009258856250029979,6814,0
msa_depth,0.009147934902657529,6814,0
amina_solubility,0.009085574261920915,6814,0
boltz_rosetta_A_C_dSASA_int,0.008851848852766908,6407,407
boltz_rosetta_A_C_side2_score,0.008829485704562545,6407,407
boltz_sap_score,0.008744453333716207,6407,407
esmfold_plddt_hotspot_middle_glycine_linker,0.008727057638173497,6814,0
esmfold_start_A_B_pdockq2,0.008297987883106872,6814,0
boltz_rosetta_A_BC_packstat,0.00799652080725255,6407,407
esmfold_ptm_middle_glycine_linker,0.007972251371540562,6814,0
boltz_z_axis_displacement_none,0.007948885283902474,6814,0
boltz_rosetta_packstat,0.007893036461020353,6407,407
esmfold_binder_below_membrane_end_glycine_linker,0.007886695492488771,6814,0
esmfold_ptm_start_glycine_linker,0.007856186761874717,6814,0
esmfold_end_C_B_lis_score_max,0.007599527331275668,6814,0
boltz_A_B_pdockq2_max,0.00746334901809087,6814,0
boltz_rosetta_A_BC_hbond_E_fraction,0.007439405650044861,6407,407
boltz_rosetta_hbond_E_fraction,0.007439405650044861,6407,407
