metric,mi_vs_leah_12k_measured,num_non_nan,num_nan
joint_score,0.25600743909866264,10101,1899
sequence_complexity,0.22775110518755248,12000,0
max_pident_cross_team_hamming,0.2255769187110368,12000,0
seq_kl_vs_human,0.21391794018623433,12000,0
esm2_full_LL_target,0.20839834570508864,12000,0
esm2_binder_LL_car_target,0.20806870186459148,12000,0
esm2_binder_LL_target,0.20286421327916848,12000,0
esm2_pll,0.20258961842700773,11968,32
esm2_full_LL_car_target,0.1959932534567872,12000,0
esm2_full_LL_alone,0.19314239046782022,12000,0
esm2_binder_LL_car,0.19036608436798286,12000,0
seq_charge,0.18863801376964107,12000,0
esmfold_plddt_binder_middle,0.1764511937912614,12000,0
esmfold_plddt_binder_start,0.16877495686778787,12000,0
esm2_full_LL_car,0.16742339395361117,12000,0
esmfold_plddt_binder_end,0.1608534257869496,12000,0
gravy_score,0.15498643864602446,12000,0
boltz_rosetta_complex_normalized,0.15452349701173063,10101,1899
boltz_rosetta_A_BC_complex_normalized,0.15452349701173063,10101,1899
esmfold_plddt_binder_middle_glycine_linker,0.14375199367918579,12000,0
boltz_rosetta_A_C_complex_normalized,0.14182238186492224,8828,3172
esmfold_plddt_binder_end_glycine_linker,0.14166767636597788,12000,0
esmfold_plddt_binder_start_glycine_linker,0.14113121093644398,12000,0
boltz_rosetta_A_B_complex_normalized,0.13925217211051444,9417,2583
max_pident_within_team_mmseqs,0.13878963859764037,12000,0
esmfold_end_C_B_pdockq2,0.13844663527441137,12000,0
esmfold_end_C_B_pdockq2_max,0.13149593454553687,12000,0
boltz_rosetta_A_BC_side1_normalized,0.1297651893014844,10101,1899
boltz_rosetta_side1_normalized,0.1297651893014844,10101,1899
boltz_sap_score,0.12972211108227105,11581,419
esmfold_end_glycine_linker_C_B_pdockq2_max,0.12628385779897777,12000,0
esmfold_z_axis_displacement_start_glycine_linker,0.1250571701041845,12000,0
esmfold_end_glycine_linker_C_B_pdockq2,0.12175007927388881,12000,0
esmfold_z_axis_displacement_start,0.1184494263749225,12000,0
boltz_rosetta_A_B_side1_normalized,0.10914037644936103,9417,2583
esmfold_z_axis_displacement_end,0.10495736319194515,12000,0
num_cysteines,0.10237815445468601,12000,0
esmfold_end_C_B_lis_score_max,0.09866007441665947,12000,0
esmfold_start_glycine_linker_A_B_pdockq2,0.09762379675862287,12000,0
boltz_rosetta_A_BC_per_residue_energy_int,0.09654937520184537,11581,419
boltz_rosetta_per_residue_energy_int,0.09654937520184537,11581,419
esmfold_ipae_middle_glycine_linker,0.09628287518640133,12000,0
esmfold_z_axis_displacement_end_glycine_linker,0.09548669139752475,12000,0
esmfold_middle_glycine_linker_B_C_pdockq2,0.0932573917608488,12000,0
esmfold_middle_glycine_linker_B_C_pdockq2_max,0.09244275503641997,12000,0
esmfold_z_axis_displacement_middle,0.09132282929938595,12000,0
boltz_rosetta_A_C_side1_normalized,0.09046192388187535,8828,3172
esmfold_start_glycine_linker_A_B_pdockq2_max,0.09038452885870862,12000,0
esmfold_plddt_hotspot_start,0.0888170540257518,12000,0
esmfold_start_glycine_linker_A_B_lis_score,0.08879838342309299,12000,0
esmfold_ipae_end,0.08543620464292312,12000,0
esmfold_end_C_B_ipSAE_max,0.0841653368775872,12000,0
boltz_rosetta_A_BC_side1_score,0.0817137724416459,11581,419
boltz_rosetta_side1_score,0.08170897531224797,11581,419
boltz_plddt_binder_none,0.08027349995885458,12000,0
esmfold_z_axis_displacement_middle_glycine_linker,0.08022397449834551,12000,0
esmfold_end_C_B_ipSAE_d0chn_max,0.07966741100054331,12000,0
boltz_rosetta_A_B_per_residue_energy_int,0.07742677121695762,11581,419
esmfold_ptm_start,0.07675046070131053,12000,0
chai1_plddt_binder_none,0.07511948291024861,12000,0
esmfold_middle_B_C_pdockq2_max,0.07486343038287302,12000,0
boltz_singleaascorewithoutseq_proteinmpnn,0.07461932767575119,11549,451
esmfold_middle_B_C_pdockq2,0.07432939719161458,12000,0
esmfold_end_C_B_lis_score,0.07328515776146527,12000,0
boltz_singleaascorewithoutseq_solublempnn,0.0731403037323961,11549,451
esmfold_end_C_A_lis_score_max,0.07310989475946927,12000,0
chai1_rmsd_alone,0.07208840445471298,12000,0
esmfold_start_glycine_linker_A_B_lis_score_max,0.07162110990831105,12000,0
closest_ab_pident,0.07060379080734669,12000,0
esmfold_middle_B_A_pdockq2,0.07014682056811883,12000,0
esmfold_ptm_middle,0.06961571576133152,12000,0
esmfold_middle_B_A_pdockq2_max,0.06658817550017071,12000,0
esmfold_start_glycine_linker_A_C_pdockq2_max,0.06185610811046316,12000,0
esmfold_middle_glycine_linker_B_A_pdockq2,0.05956521150783933,12000,0
esmfold_start_glycine_linker_A_C_pdockq2,0.05886557163157091,12000,0
msa_depth,0.058273024475638646,12000,0
boltz_rosetta_A_C_per_residue_energy_int,0.057350961526484,11581,419
esmfold_middle_glycine_linker_B_A_pdockq2_max,0.05676772576489886,12000,0
esmfold_start_A_B_pdockq2,0.05541274757283232,12000,0
esmfold_ipae_start_glycine_linker,0.055243495259091,12000,0
esmfold_start_glycine_linker_A_B_ipSAE_d0chn_max,0.054365225928266536,12000,0
esmfold_ipae_middle,0.054247825297232266,12000,0
rnn_solubility,0.053764445619217005,12000,0
esmfold_plddt_hotspot_middle,0.05301930007158351,12000,0
esmfold_start_glycine_linker_A_B_ipSAE_max,0.05280159788773209,12000,0
esmfold_middle_glycine_linker_B_C_lis_score_max,0.05263292614920334,12000,0
esmfold_middle_glycine_linker_B_C_lis_score,0.05030529982896437,12000,0
boltz_hs_iplddt,0.05004055527510243,10537,1463
esmfold_start_glycine_linker_A_B_ipSAE_d0chn,0.04902628568441303,12000,0
boltz_rosetta_A_B_side1_score,0.04873408440266358,11581,419
esmfold_start_A_B_pdockq2_max,0.04824128464475175,12000,0
esmfold_ptm_start_glycine_linker,0.048063907922826,12000,0
esmfold_ptm_middle_glycine_linker,0.04792800627534399,12000,0
boltz_autoregwithseq_solublempnn,0.04671509592448064,11549,451
esmfold_start_glycine_linker_A_B_ipSAE,0.046548922056485864,12000,0
esmfold_end_glycine_linker_C_A_pdockq2,0.04648273452826457,12000,0
esmfold_ipae_end_glycine_linker,0.04645316573840641,12000,0
esmfold_end_glycine_linker_C_A_pdockq2_max,0.04612027810858277,12000,0
esmfold_middle_glycine_linker_B_C_ipSAE,0.04584939399515631,12000,0
esmfold_middle_glycine_linker_B_C_ipSAE_max,0.045484025788744775,12000,0
esmfold_ptm_end_glycine_linker,0.04439163641771482,12000,0
esmfold_middle_glycine_linker_B_C_ipSAE_d0chn,0.044126046506205,12000,0
esmfold_start_A_C_pdockq2_max,0.04402717898362685,12000,0
