metric,mi_vs_percent_of_significant_seqs,num_non_nan,num_nan
esm2_full_LL_car_target,0.5114762653553204,28,0
esm2_binder_LL_target,0.365590448907529,28,0
esm2_full_LL_target,0.36392895097502276,28,0
esm2_full_LL_car,0.34365657767163427,28,0
boltz_rosetta_A_C_side2_normalized,0.3136102292816687,28,0
esm2_binder_LL_car,0.3063291766155176,28,0
boltz_binder_below_membrane_none,0.29794252838950963,28,0
esm2_binder_LL_car_target,0.2914278926753684,28,0
max_pident_cross_team_hamming,0.2763619257985206,28,0
esmfold_start_A_B_pdockq,0.27541610190435795,28,0
esmfold_start_A_B_pdockq_max,0.27541610190435795,28,0
boltz_rosetta_A_B_dSASA_int,0.2414996858920766,28,0
esmfold_binder_below_membrane_end_glycine_linker,0.23518334828290444,28,0
esmfold_ipae_start,0.2297871266833993,28,0
esmfold_plddt_hotspot_start,0.2217233079829466,28,0
max_pident_cross_team_mmseqs,0.20562824095578192,28,0
esmfold_binder_below_membrane_middle,0.20384331051954807,28,0
boltz_plddt_hotspot_none,0.19272903672145025,28,0
esm2_full_LL_alone,0.19032863166069403,28,0
esmfold_middle_B_A_pdockq,0.1845645117714878,28,0
esmfold_middle_B_A_pdockq_max,0.1845645117714878,28,0
esmfold_n_hs_engaged_middle,0.17942959274864445,28,0
esmfold_binder_below_membrane_middle_glycine_linker,0.17794848212444303,28,0
esmfold_start_glycine_linker_A_B_lis_score,0.16591540023700135,28,0
esmfold_binder_below_membrane_end,0.1652736150303722,28,0
esmfold_z_axis_displacement_middle_glycine_linker,0.15420062025546333,28,0
esmfold_z_axis_displacement_start,0.14374806004477536,28,0
esm2_pll,0.1411098627520757,28,0
esmfold_n_hs_engaged_end,0.13873942661757765,28,0
esmfold_n_hs_engaged_middle_glycine_linker,0.13670741504966233,28,0
max_pident_within_team_mmseqs,0.13667529142870727,28,0
esmfold_end_C_B_ipSAE,0.1354337030414734,28,0
esmfold_middle_B_C_pdockq_max,0.13090815706913617,28,0
esmfold_middle_B_C_pdockq,0.13090815706913617,28,0
boltz_rosetta_A_B_packstat,0.12711898055270066,28,0
chai1_plddt_hotspot_none,0.1270284554909482,28,0
esmfold_middle_B_C_pdockq2_max,0.1265473415086542,28,0
boltz_autoregwithoutseq_solublempnn,0.12637390790943215,28,0
esmfold_start_glycine_linker_A_C_lis_score,0.12109030587025837,28,0
boltz_rosetta_A_B_dG_separated,0.11963112040897217,28,0
boltz_rosetta_A_B_hbonds_int,0.11923628155715749,28,0
esmfold_start_glycine_linker_A_B_lis_score_max,0.11808281517255015,28,0
amina_solubility,0.11790270636328737,28,0
boltz_rosetta_A_B_delta_unsatHbonds,0.11422050990628696,28,0
esmfold_start_glycine_linker_A_C_lis_score_max,0.11409959448326168,28,0
esmfold_z_axis_displacement_end,0.11270252502728306,28,0
esmfold_n_hs_engaged_end_glycine_linker,0.10785191873285349,28,0
boltz_rosetta_A_C_nres_int,0.1072503110818328,28,0
esmfold_end_glycine_linker_C_B_ipSAE_max,0.10660778042216368,28,0
tlimmuno2_13mer_mean_rank,0.10645538243888364,28,0
boltz_rosetta_A_C_per_residue_energy_int,0.1030205772813888,28,0
esmfold_end_C_B_ipSAE_d0chn,0.10238477083397024,28,0
boltz_autoregwithseq_solublempnn,0.10202862236305021,28,0
boltz_rosetta_A_BC_dSASA_int,0.09931703092416155,28,0
boltz_rosetta_dSASA_int,0.09931703092416155,28,0
boltz_rosetta_A_C_side1_normalized,0.09773697768220879,28,0
esmfold_end_glycine_linker_C_B_lis_score,0.09360473114477674,28,0
esmfold_end_glycine_linker_C_B_ipSAE_d0chn_max,0.09065810509748795,28,0
esmfold_middle_glycine_linker_B_C_lis_score_max,0.08996914607590911,28,0
esmfold_start_glycine_linker_A_B_ipSAE_d0chn,0.08877216532065768,28,0
boltz_rosetta_A_B_dSASA_hphobic,0.08804978688573106,28,0
boltz_rosetta_A_BC_delta_unsatHbonds,0.08791341011262199,28,0
boltz_rosetta_delta_unsatHbonds,0.08791341011262199,28,0
esmfold_start_glycine_linker_A_B_ipSAE,0.08781062685911856,28,0
esmfold_end_C_A_lis_score,0.087308331865797,28,0
esmfold_middle_B_A_pdockq2_max,0.08601580958723787,28,0
esmfold_end_C_B_pdockq,0.08402807509950394,28,0
esmfold_end_C_B_pdockq_max,0.08402807509950394,28,0
chai1_A_B_pdockq_max,0.08238582309567377,28,0
chai1_A_B_pdockq,0.08238582309567377,28,0
esmfold_start_A_B_lis_score_max,0.08089652493258992,28,0
esmfold_middle_glycine_linker_B_C_lis_score,0.08073472969863538,28,0
boltz_rosetta_A_BC_packstat,0.07952290807080464,28,0
boltz_rosetta_packstat,0.07952290807080464,28,0
esmfold_middle_glycine_linker_B_C_pdockq2,0.07469228450983145,28,0
esmfold_middle_B_C_pdockq2,0.07313349345194853,28,0
boltz_rosetta_A_B_dSASA_polar,0.07179800860111385,28,0
esmfold_end_C_A_lis_score_max,0.06946175405454236,28,0
boltz_plddt_binder_none,0.06940264406344498,28,0
boltz_rosetta_A_C_packstat,0.0640176264893948,28,0
esmfold_middle_B_A_ipSAE_d0chn,0.06265749310806767,28,0
esmfold_middle_B_A_ipSAE,0.06265749310806767,28,0
esmfold_end_C_B_ipSAE_d0chn_max,0.06250436722485198,28,0
esmfold_z_axis_displacement_middle,0.06208704092605011,28,0
esmfold_start_glycine_linker_A_B_ipSAE_max,0.06151211871214768,28,0
esmfold_ipae_start_glycine_linker,0.0614140425252403,28,0
esmfold_end_glycine_linker_C_A_lis_score_max,0.060760804499158105,28,0
boltz_all_hs_engaged,0.05983713374080235,28,0
boltz_autoregwithseq_proteinmpnn,0.059240230168974506,28,0
esmfold_ptm_end,0.059137544687320354,28,0
chai1_A_C_pdockq_max,0.05864045398927997,28,0
chai1_A_C_pdockq,0.05864045398927997,28,0
esmfold_ptm_start_glycine_linker,0.05833326349000867,28,0
esmfold_z_axis_displacement_start_glycine_linker,0.05620969093018813,28,0
esmfold_binder_below_membrane_start,0.05301299567165252,28,0
boltz_rosetta_A_BC_dSASA_polar,0.05189340555022559,28,0
boltz_rosetta_dSASA_polar,0.05189340555022559,28,0
esmfold_ipae_middle_glycine_linker,0.049244682387615146,28,0
