feature,roc_auc_leah_12k_twist_dna_detected_10cv,roc_auc_leah_12k_detected_10cv,roc_auc_fourclass_micro_10cv,roc_auc_up_vs_rest_10cv,roc_auc_fourclass_Down_10cv,roc_auc_fourclass_Not_Recovered_10cv,roc_auc_fourclass_Not_Sig_10cv,roc_auc_fourclass_Up_10cv
dssp_ke_alpha_ratio,0.6412650682517836,0.9007022983352144,0.9307241527777778,0.5404792569679607,0.7881823050186211,0.9008433386900747,0.8682758463394753,0.6883459493689436
dssp_kae_alpha_ratio,0.7000499504650961,0.8942086407931947,0.9276858541666667,0.5623031803882467,0.7703861754267365,0.8942489946346937,0.8580591778888398,0.6768114731297041
ratio_KE,0.6211595904892985,0.8913309817551963,0.9274215416666667,0.5181207745194197,0.7721301803461946,0.891343574644023,0.864712987941973,0.7133572498816718
dna_sequence_entropy,0.7921239918483499,0.8973665694288127,0.9225172893518518,0.5700544741701403,0.7901597093121513,0.8973665835781259,0.8585190973604976,0.6705763706122293
ratio_K,0.6021734270174668,0.8749596744571276,0.918999425925926,0.5308747291978821,0.7322283048027838,0.8746920684949013,0.8478671507097673,0.6460781490730824
ratio_E,0.6269419178319005,0.8626994076871068,0.9152995995370371,0.5064405094542926,0.7760552095147533,0.8625252013418983,0.8384220290856458,0.6754348709086289
aa_sequence_entropy,0.7955064528354577,0.8353967512723912,0.9023488472222222,0.571001913666212,0.8416913386179499,0.8353865779161367,0.79431311122056,0.6821811736777023
dssp_alpha_ratio,0.6726418144402557,0.8254312625794469,0.9013670300925927,0.5448034487323699,0.7209676122098669,0.825485199761703,0.7953145969475549,0.6014409672362159
esm2_binder_LL_target,0.7600644784872239,0.8376981229294602,0.8996300856481483,0.6082666773211077,0.8038304986041851,0.8376139345153933,0.7907522669066973,0.7065253400142357
esm2_full_LL_target,0.7603512157660623,0.8377916357409844,0.8996275972222222,0.6062776117335456,0.8022336091026264,0.8377176489817983,0.7913863837778314,0.7076701079425978
esm2_binder_LL_car_target,0.7630806222115839,0.8353602035961669,0.8995381064814816,0.5961083401353507,0.8058773882075538,0.8352928528649133,0.7911206636397258,0.7089425037176776
esm2_full_LL_alone,0.7437030000199469,0.8270542737095232,0.898038810185185,0.5879181142741414,0.824524903738666,0.8269788295710687,0.7838081787852875,0.7160408163623159
esmfold_plddt_binder_middle,0.5769590389563761,0.8043928750397171,0.8963507824074075,0.5179178099211801,0.784147575598999,0.8043310425406461,0.7770282176451563,0.6030629931723486
