feature,roc_auc_lr_leah_12k_twist_dna_detected_10cv,roc_auc_lr_leah_12k_detected_10cv,roc_auc_lr_fourclass_micro_10cv,roc_auc_lr_up_vs_rest_10cv,roc_auc_lr_fourclass_Down_10cv,roc_auc_lr_fourclass_Not_Recovered_10cv,roc_auc_lr_fourclass_Not_Sig_10cv,roc_auc_lr_fourclass_Up_10cv,roc_auc_rf_leah_12k_twist_dna_detected_10cv,roc_auc_rf_leah_12k_detected_10cv,roc_auc_rf_fourclass_micro_10cv,roc_auc_rf_up_vs_rest_10cv,roc_auc_rf_fourclass_Down_10cv,roc_auc_rf_fourclass_Not_Recovered_10cv,roc_auc_rf_fourclass_Not_Sig_10cv,roc_auc_rf_fourclass_Up_10cv
dssp_ke_alpha_ratio,0.6412650682517836,0.9007022983352144,0.9307241527777778,0.5404792569679607,0.7881823050186211,0.9008433386900747,0.8682758463394753,0.6883459493689436,0.6545624056675909,0.8991458738734741,0.9309445127314815,0.67482484988072,0.7906219266112956,0.899345096204577,0.8661029001165362,0.6783672428038998
dssp_kae_alpha_ratio,0.7000499504650961,0.8942086407931947,0.9276858541666667,0.5623031803882467,0.7703861754267365,0.8942489946346937,0.8580591778888398,0.6768114731297041,0.7098771434650497,0.8924611723034324,0.9284742731481482,0.6725668765533117,0.8089810653803315,0.8931947576001904,0.8568111405438954,0.6750662656555468
ratio_KE,0.6211595904892985,0.8913309817551963,0.9274215416666667,0.5181207745194197,0.7721301803461946,0.891343574644023,0.864712987941973,0.7133572498816718,0.6303418323925027,0.8895772451196471,0.928133181712963,0.7130528969204114,0.7855291369975422,0.8900262311289194,0.8630059478806826,0.7133879982981284
dna_sequence_entropy,0.7921239918483499,0.8973665694288127,0.9225172893518518,0.5700544741701403,0.7901597093121513,0.8973665835781259,0.8585190973604976,0.6705763706122293,0.6887425282082993,0.8488619452634382,0.8827499965277779,0.5814867479334997,0.572334207541676,0.848569238419438,0.7956616721744678,0.5785947059367991
ratio_K,0.6021734270174668,0.8749596744571276,0.918999425925926,0.5308747291978821,0.7322283048027838,0.8746920684949013,0.8478671507097673,0.6460781490730824,0.6199700463433933,0.873478312102383,0.919454744212963,0.6380908251860468,0.7827204542353969,0.8732773777043724,0.8462121017868421,0.6359966137914977
ratio_E,0.6269419178319005,0.8626994076871068,0.9152995995370371,0.5064405094542926,0.7760552095147533,0.8625252013418983,0.8384220290856458,0.6754348709086289,0.6635559827525449,0.860559776830239,0.9174799328703703,0.6699498168308691,0.7707442920235956,0.8603923055581559,0.836893145139951,0.6717663531163176
aa_sequence_entropy,0.7955064528354577,0.8353967512723912,0.9023488472222222,0.571001913666212,0.8416913386179499,0.8353865779161367,0.79431311122056,0.6821811736777023,0.6328219020738169,0.7906741536531658,0.8615739421296297,0.5448367647355368,0.6335874171012256,0.7919015216850678,0.7480384006020139,0.5492571470654801
dssp_alpha_ratio,0.6726418144402557,0.8254312625794469,0.9013670300925927,0.5448034487323699,0.7209676122098669,0.825485199761703,0.7953145969475549,0.6014409672362159,0.7378764154016982,0.8283674290278935,0.904116337962963,0.6248308680534724,0.7579320153692343,0.8286906842392837,0.7954155789341741,0.6255393967373613
esm2_binder_LL_target,0.7600644784872239,0.8376981229294602,0.8996300856481483,0.6082666773211077,0.8038304986041851,0.8376139345153933,0.7907522669066973,0.7065253400142357,0.5886354796241997,0.7686701462280591,0.8508055023148148,0.5845833201300928,0.5899366436508243,0.7705462036769878,0.7071000115316706,0.587993325777531
esm2_full_LL_target,0.7603512157660623,0.8377916357409844,0.8996275972222222,0.6062776117335456,0.8022336091026264,0.8377176489817983,0.7913863837778314,0.7076701079425978,0.596186643528215,0.7766763087633715,0.8512148020833333,0.5625615672849874,0.6343433561862797,0.7733135829672152,0.7150679347633586,0.5657643498976911
esm2_binder_LL_car_target,0.7630806222115839,0.8353602035961669,0.8995381064814816,0.5961083401353507,0.8058773882075538,0.8352928528649133,0.7911206636397258,0.7089425037176776,0.5864523284729287,0.7744927725873694,0.8539047222222224,0.5587796999330298,0.586595494704863,0.7786041244003097,0.7196429882567257,0.5616982945337582
esm2_full_LL_alone,0.7437030000199469,0.8270542737095232,0.898038810185185,0.5879181142741414,0.824524903738666,0.8269788295710687,0.7838081787852875,0.7160408163623159,0.5672346973716581,0.7678418312788342,0.8479436643518519,0.5645826963943943,0.6450532567993794,0.7630025255958248,0.7048626285224968,0.5734123765945809
esmfold_plddt_binder_middle,0.5769590389563761,0.8043928750397171,0.8963507824074075,0.5179178099211801,0.784147575598999,0.8043310425406461,0.7770282176451563,0.6030629931723486,0.5403009245407218,0.7428531394100145,0.8406299328703704,0.5492444970041274,0.5442837769872797,0.7442342821787363,0.7084734221106213,0.5325901902406405
max_pident_cross_team_hamming,0.7486805929560701,0.8294290520039334,0.8961291226851852,0.5519422165237106,0.8569921056543225,0.8289574129440861,0.7915192855175802,0.6902806572671284,0.7041648381970624,0.8368683081530268,0.9134835682870371,0.6941326009490552,0.8127612698554909,0.8365353040647809,0.8040904177428932,0.6952713569670714
dssp_other_ratio,0.6258834832678408,0.8158433200129811,0.8951247175925925,0.5537189239031176,0.7377746578675697,0.815829878165357,0.7847076824289593,0.5910821325899273,0.6837138212355136,0.8160006886753763,0.8959895960648148,0.6121049063325581,0.7087448153268812,0.8163808948727529,0.7843195198957988,0.6237071418113209
esm2_binder_LL_car,0.7572299350394617,0.8218775210538953,0.8949814282407408,0.5962772998656963,0.8072752392025428,0.8218097741418696,0.7777208957343902,0.7024433781375127,0.6169836152501014,0.7580059785942397,0.8489796365740743,0.568176628923977,0.6079827167381712,0.7584052580659292,0.705711460599843,0.5839580814541208
esmfold_plddt_binder_start,0.5553702152274949,0.7995941071392794,0.8945356388888889,0.5242908106322137,0.7840737633651048,0.7995091971102347,0.7717591109295875,0.5985958932890922,0.49914290487303775,0.7339728888969886,0.839608744212963,0.5239464408927136,0.581811443848743,0.7427336343099793,0.703055773254075,0.5214436074668427
esm2_full_LL_car_target,0.7602444165187269,0.8243670078311356,0.8943269976851853,0.5927451772893573,0.8097655112591654,0.82430033626692,0.7808598659220354,0.7047073633752668,0.5798669289689425,0.7569466336576394,0.84897215625,0.5970148234921908,0.5659089798436606,0.7596226932799025,0.7094943819428763,0.5925124036356527
seq_kl_vs_human,0.8031768828250188,0.8306026101973988,0.8930692384259261,0.598739866017063,0.7552495769795425,0.8306034450068828,0.7884371263788035,0.6170366767862983,0.6417174066981828,0.787706929462051,0.8529941516203703,0.5297805615149311,0.5583376263207299,0.7865049311488755,0.7273211195782571,0.5340188330606473
esmfold_plddt_binder_end,0.5853438187753908,0.7942124299792932,0.8921699027777777,0.48142075469264045,0.784222405932671,0.7941194406923611,0.7695899289595196,0.5899734361236404,0.5016545572111517,0.7297090640840509,0.8355156087962963,0.5252775154177318,0.5405674582731806,0.7293591091184852,0.6985493097263098,0.5167402896062462
boltz_rosetta_complex_normalized,0.5088400658564411,0.7960971918925221,0.8909379782560656,0.5267637179625483,0.830734526527466,0.7960874981861168,0.7722092111494705,0.565228074293471,0.5036608734859509,0.7381492374612006,0.8481924811001139,0.5588878749364425,0.5742556388281862,0.7388820462726028,0.7073894895464824,0.5499656692958762
boltz_rosetta_A_BC_complex_normalized,0.5088400658564411,0.7960971918925221,0.8909379782560656,0.5267637179625483,0.830734526527466,0.7960874981861168,0.7722092111494705,0.565228074293471,0.5036608734859509,0.7381492374612006,0.8481924811001139,0.5588878749364425,0.5742556388281862,0.7388820462726028,0.7073894895464824,0.5499656692958762
boltz_rosetta_A_B_complex_normalized,0.4537150422527696,0.7902449019216327,0.8907692438210727,0.5159895169373843,0.8228030254069977,0.7902308009163123,0.7698208187786145,0.5660902608769908,0.48951050816709024,0.7194061515274146,0.8433768901086468,0.5432478178923676,0.5775792157541314,0.7206721913079775,0.7006616422730032,0.540740706854451
longest_stretch_of_K,0.5628054375361538,0.7806026017078108,0.8897018796296297,0.4980238975941211,0.6963950104966088,0.7804115435304756,0.763215909849505,0.6041517751856146,0.5751031423081271,0.7775384264220428,0.8898555937500001,0.5959362492016999,0.6803278688524591,0.7794305150429273,0.7611097339717764,0.6007204773557013
esmfold_plddt_binder_start_glycine_linker,0.5378322827944335,0.7902869859936513,0.8892426944444445,0.5092138162216622,0.7903905634367789,0.7901982839486454,0.7628135931699396,0.5918053153052841,0.5057147986356292,0.7124948397454437,0.8307463009259259,0.5358627986870488,0.5645452351912296,0.7142253573578863,0.6845193558854956,0.5362684147631978
gravy_score,0.6790350168551653,0.7911574941951027,0.8891648969907407,0.5117551634481863,0.6074744304240792,0.7911605928947129,0.7777225764524619,0.6137541737374456,0.5542076825643787,0.7574322946869554,0.8585285451388888,0.5460132204413468,0.5228184157960215,0.7555293818414052,0.7416894811412181,0.5364462044868641
esmfold_plddt_binder_middle_glycine_linker,0.5375451299543215,0.7825135938112487,0.8879301064814815,0.487608763912406,0.7892543640846977,0.7823843256850447,0.7584338085579886,0.5941008630723542,0.5089075559013025,0.708739314863084,0.8299782094907406,0.5143063426530886,0.5547605327512518,0.7090688099216342,0.6817663813548194,0.5203219478188728
longest_stretch_of_E,0.6429399879653455,0.7787784439400245,0.8879298842592593,0.45520738523106585,0.7078878298388755,0.7796068437851291,0.7669062805767413,0.599262275976494,0.6317362482463313,0.7749357309891808,0.8928155405092594,0.5871487776220665,0.702241448470916,0.7759439403075563,0.7644647528279054,0.588933062513472
boltz_rosetta_A_C_complex_normalized,0.44038361224953226,0.7904141031552667,0.8874365382708435,0.5388187988744025,0.8405267337300555,0.7905236960325166,0.7652144022505265,0.5543079345152031,0.5419437147183159,0.7225634579024465,0.8384599892133793,0.521938781834922,0.5784806681048108,0.7242254322141435,0.6869544712008889,0.5245130731807368
dssp_beta_ratio,0.6021848549524929,0.7457570737227895,0.8865735486111112,0.4849929566712854,0.6940643255801642,0.7466736520883084,0.7314015280199732,0.4917353141241943,0.6027751597417537,0.7442385694206626,0.8876828171296296,0.5651513229146092,0.6899715644732046,0.7447916660771119,0.7296534284328994,0.5616341674900688
esmfold_plddt_binder_end_glycine_linker,0.5568421332588648,0.7786401768505689,0.8859788263888889,0.4978027093926455,0.7890283459340149,0.7784717858731217,0.7535529754974364,0.5703531909654515,0.5222260869420675,0.7170588563891112,0.8276561111111109,0.5156727997754551,0.5182435844442499,0.7143888526729354,0.6781131114372476,0.5086178856086265
esm2_full_LL_car,0.7532717139076722,0.8015538153283699,0.8857869050925925,0.6026474824937553,0.801943959715828,0.8014628918411777,0.756591380405422,0.6964680402462329,0.5742813698894275,0.734967019648642,0.8383014374999999,0.5863580235393845,0.5995525960526236,0.7329126242550246,0.682275819503547,0.5875073630245721
boltz_sap_score,0.698253678881515,0.784288167132622,0.884501789166061,0.6013613277141315,0.6987089782807808,0.784326191474113,0.7488681431071866,0.6282666086035712,0.5401435266549502,0.7018912743352015,0.821989453623895,0.5326943233407061,0.5008412912640927,0.6999465125268561,0.6651830850278782,0.5264978475143404
boltz_rosetta_side1_normalized,0.4642238640788638,0.7743975646578082,0.8825987839946854,0.4852398177134486,0.7748119032603435,0.7744780243872418,0.7566718082373747,0.5562947998997838,0.5360320355606565,0.7088713537015212,0.8314193689899065,0.5048084069112592,0.5275765220069518,0.7071838032912985,0.6845716691289423,0.5029420043017039
boltz_rosetta_A_BC_side1_normalized,0.4642238640788638,0.7743975646578082,0.8825987839946854,0.4852398177134486,0.7748119032603435,0.7744780243872418,0.7566718082373747,0.5562947998997838,0.5360320355606565,0.7088713537015212,0.8314193689899065,0.5048084069112592,0.5275765220069518,0.7071838032912985,0.6845716691289423,0.5029420043017039
longest_dup_substr_len_dna,0.7495036120585907,0.773853860345825,0.8814351921296295,0.5519745305418196,0.6716808929142292,0.7723568629998967,0.7458567729840766,0.5775230829176452,0.708301542895897,0.7711382675422338,0.8821208935185184,0.5714302622783562,0.6595476888116943,0.7704072574204942,0.7425655936342068,0.5703549444393023
total_duplicated_nucleotides,0.7474310002061184,0.773525369888518,0.8810997847222223,0.5494745778229895,0.6750166968363567,0.7724814477034023,0.746289134235452,0.5744000207410908,0.7032555901302535,0.7709272446838483,0.8820489791666667,0.5709013394160507,0.6616241033086208,0.7702724144648544,0.7429345320862834,0.569635769664176
min_gravy_len_20,0.670542191104994,0.7596253250521742,0.8798907905092592,0.5156833206185605,0.6336759917818986,0.7595383775220159,0.7576652203508901,0.5239780034220295,0.655710809247402,0.7623382153369275,0.8758351770833332,0.5716362954558349,0.6520371667504903,0.7637657395546091,0.7573623160617281,0.5719738391721298
boltz_rosetta_A_B_side1_normalized,0.5017184571569588,0.7514349580734628,0.8772358334067528,0.49960007400765694,0.7344549701774759,0.7515107961725894,0.738019975583577,0.5397331657995166,0.5084402158326163,0.6793280889043076,0.8217004195844224,0.518651251115706,0.5497059442826437,0.6765381914430219,0.6588155622377534,0.5115432629650638
esmfold_end_C_B_pdockq2,0.5973242425149103,0.7712474011956283,0.8732152002314815,0.5261188697458252,0.7432805414661858,0.771550776621848,0.7470715015526918,0.528396632278122,0.6019783209994747,0.7753746285380783,0.8831666712962962,0.5822408043134455,0.7100999061312006,0.7750351440643461,0.7506891013544948,0.5796791042654379
esmfold_end_C_B_pdockq2_max,0.5898408150985046,0.7655283195109636,0.8722636261574074,0.5125404692371174,0.7370632606477966,0.7658425474604756,0.7447517494677749,0.5133488833064405,0.5757075761806927,0.7702358243406902,0.8809459224537037,0.5594299256113768,0.6994185123118807,0.7701349397369427,0.7485203916523151,0.5648586806537101
esmfold_end_glycine_linker_C_B_pdockq2,0.6091899713428947,0.7524271307535777,0.8709882384259259,0.5495275577829126,0.6909659934312202,0.7524111986268148,0.725910552628714,0.5501698928289307,0.5343793841714373,0.7673755689580366,0.8789234618055555,0.5559542899426626,0.7229826861951779,0.7660634040915966,0.739580624448714,0.5546661755269908
longest_dup_substr_len,0.7394181477270461,0.7748914294892744,0.8703221319444444,0.5285818742656546,0.7717079234633311,0.7755262667285916,0.749355264046504,0.49117595596576263,0.7494126041396552,0.774491131267028,0.8859103124999999,0.5980211922344656,0.7541444296706855,0.7749858054089089,0.7482733955469416,0.5943821077532224
esmfold_end_glycine_linker_C_B_pdockq2_max,0.5986153913922301,0.7473873717492094,0.8687437199074073,0.5476882263374027,0.6917865818521678,0.7472598156899132,0.7211362020866519,0.548785713095857,0.5504811368426652,0.7628533352365103,0.8764492881944446,0.5350674104234752,0.7349275418388103,0.7612477419110925,0.7339054923616364,0.5405282289876532
boltz_singleaascorewithoutseq_solublempnn,0.453670140660813,0.7237962664942307,0.8681191808121356,0.49933258498351857,0.8027802722707049,0.7237651596056253,0.7079110785571112,0.6141154249050501,0.5166365037694853,0.625660187621229,0.7998392208004194,0.5170609366413881,0.5667241679267053,0.62966374423613,0.6117076106910091,0.5248224913711358
num_cysteines,0.5577220842558793,0.6772815428094265,0.8675345995370369,0.5618329988999456,0.7870285434453719,0.6798636085435139,0.6742056086034319,0.5647105747373765,0.5688321149076789,0.6774255969680172,0.8692705474537037,0.5592431180221917,0.766297741243833,0.6793702502877688,0.675127725544795,0.5603525033532056
max_gravy_len_20,0.676080168418673,0.7194281164513386,0.8672382523148148,0.521674878142961,0.6595390349635826,0.7194650320097085,0.7121909760218759,0.5869253975782772,0.594273814985472,0.7404069919793769,0.8668786736111112,0.5837723384740594,0.6175910333916366,0.7404389411287824,0.7285794495851112,0.5780484988322492
boltz_rosetta_A_BC_per_residue_energy_int,0.49405411431419355,0.7359105712133924,0.8669927995564098,0.5003935450968848,0.7015731317465946,0.735947600074305,0.7194205401636716,0.5202317328332324,0.49525439585901776,0.6817379510198216,0.8253569104658791,0.5039122818980841,0.5247166781049962,0.680826452802848,0.6654758977829021,0.5041811615971599
boltz_rosetta_per_residue_energy_int,0.49405411431419355,0.7359105712133924,0.8669927995564098,0.5003935450968848,0.7015731317465946,0.735947600074305,0.7194205401636716,0.5202317328332324,0.49525439585901776,0.6817379510198216,0.8253569104658791,0.5039122818980841,0.5247166781049962,0.680826452802848,0.6654758977829021,0.5041811615971599
esmfold_end_C_B_lis_score_max,0.5820342887918137,0.7344668414238918,0.8659385069444444,0.5097359756848285,0.7188718538171616,0.7315925074745162,0.7114132480421231,0.5326396006287957,0.40389231311378404,0.7009977020383275,0.838314519675926,0.5028448860749252,0.6842455167976282,0.6914016377660339,0.6760655940092429,0.5020817492053945
boltz_rosetta_A_BC_side1_score,0.525961580498212,0.71946422149286,0.8652291542568749,0.509010135678605,0.6760304701791269,0.7194953830515751,0.7051811908841691,0.5212253042059499,0.5218756830959439,0.6333119083791049,0.8019802644597085,0.5223392625969316,0.5106516786280128,0.6341312793934494,0.6190580126460226,0.5196341419426791
boltz_rosetta_side1_score,0.525961580498212,0.71946422149286,0.8652291542568749,0.509010135678605,0.6760304701791269,0.7194953830515751,0.7051812207508311,0.5212251725635023,0.5218756830959439,0.6334325425255728,0.8020018322805774,0.5223392625969316,0.510641473426932,0.634168323337401,0.6191606046302645,0.5196341419426791
boltz_rosetta_A_C_side1_normalized,0.46413302369246023,0.7260491081027639,0.8651730683911573,0.4989179028366452,0.7370676860130291,0.7261142568373506,0.7111929801648507,0.5350055389580899,0.5114638946988874,0.650158985545983,0.8083317584880994,0.5130708141423179,0.5245770494895231,0.6476841566713643,0.6298450275303912,0.5168760727153067
