feature,roc_auc_lr_up_vs_rest_10cv,roc_auc_lr_threeclass_micro_10cv,roc_auc_lr_threeclass_Down_10cv,roc_auc_lr_threeclass_Not_Sig_10cv,roc_auc_lr_threeclass_Up_10cv,roc_auc_rf_up_vs_rest_10cv,roc_auc_rf_threeclass_micro_10cv,roc_auc_rf_threeclass_Down_10cv,roc_auc_rf_threeclass_Not_Sig_10cv,roc_auc_rf_threeclass_Up_10cv
ratio_KE,0.7247463114594552,0.9443776133079136,0.6219559955397209,0.6587328318550953,0.7250607573395422,0.7319906162119676,0.9460916083112464,0.6604104907213505,0.657309475500369,0.7322930125815427
ratio_E,0.7065813267808714,0.9427688409680238,0.6355417153943086,0.6405897404142153,0.7065173716866163,0.7143866289362507,0.944503023633188,0.6419864559819413,0.6581188123013793,0.7144662252220354
dssp_ke_alpha_ratio,0.6991458519096622,0.941977286304438,0.6451539793485455,0.6295978644542672,0.6996001416280929,0.7039209338926778,0.943173149284515,0.6863304232732284,0.6283918166220861,0.7050754855489294
ratio_K,0.6822260219375241,0.9405879267952484,0.5697104444867507,0.6353258200334344,0.6821335651164817,0.6643489510437657,0.9404480251131495,0.6653000262902626,0.6245161437179994,0.6672517244703314
num_cysteines,0.6527161913907173,0.9402848963027823,0.7389204674227383,0.5912059205142718,0.6596469771485667,0.6500104969774266,0.939930361943759,0.7160193822694844,0.5884522849127891,0.6523355890634934
min_gravy_len_20,0.6546412165556568,0.9400883333616084,0.5859464947827427,0.6474986660555406,0.6543404422355735,0.612223811315788,0.9295659215109313,0.6160633504673321,0.5897952959504803,0.6135190178351293
longest_stretch_of_E,0.6638611775893934,0.9391346630431341,0.5683157007261551,0.6222228781023613,0.6674615481581858,0.6732502952130075,0.9402157861652154,0.581798072651781,0.6280907869288489,0.6775913630962421
dssp_kae_alpha_ratio,0.668661633060891,0.9390246278911659,0.6180188020705848,0.6080217227502058,0.6689744568914858,0.6830518768502951,0.9419760198600892,0.7035097500611929,0.6305224625444213,0.6837388148101459
gravy_score,0.6491999356741516,0.9388384713501512,0.5483020116583717,0.6358092422771078,0.6493244859029996,0.5590216307251397,0.9171835933223226,0.5038510701950012,0.5542842090683531,0.5630505699418472
dna_sequence_entropy,0.6599879551239153,0.9378617517445298,0.6585688124960338,0.5857377127607655,0.660376899419955,0.58479703989871,0.9138968522789779,0.5532055989193796,0.5247418243576136,0.5872228149139572
max_gravy_len_20,0.6460004430512327,0.9373912541961613,0.5837036634121134,0.6029441494912877,0.6465908690663112,0.5957052068715578,0.926297643609454,0.5928150525351971,0.559498263267973,0.5958653263285513
esmfold_plddt_binder_middle,0.640909293138638,0.9372855465114782,0.6679539829747886,0.5873464517077382,0.64265415494929,0.5867799954026484,0.9112030227558385,0.5112694570607486,0.5357433456137244,0.5825690390608055
esmfold_plddt_binder_end,0.6434070176349223,0.9370910853290108,0.666828034485572,0.5835220917792369,0.6440817902235834,0.5713321753444769,0.9124177045600252,0.5302827563073966,0.5437891623137445,0.576653540424254
esmfold_plddt_binder_middle_glycine_linker,0.6386377286858063,0.9369565512153004,0.6785054438974862,0.5814014769649107,0.6398973659770022,0.5558432247456164,0.9080640191821805,0.555833718621665,0.5005771745223746,0.5490858824227302
boltz_singleaascorewithoutseq_solublempnn,0.6436394341549865,0.9364710449541181,0.7292148277081237,0.5610884832463134,0.6444349335701217,0.5487743330595931,0.9089013598508168,0.5489923576926214,0.5079885236408138,0.5560669517148307
esmfold_plddt_binder_start,0.6331681777988696,0.9363451442184789,0.6667382849683157,0.57827678682005,0.6347172350637048,0.5329549478070817,0.9068881282989392,0.5572289156626506,0.5084122415012402,0.5324641619750816
longest_stretch_of_K,0.6424998285261965,0.9361811531481294,0.5645249168230484,0.5954372154878764,0.6369788354982288,0.6356684512300695,0.9357801052521959,0.5439432674263647,0.5964814152504478,0.6336042773908546
esmfold_plddt_binder_start_glycine_linker,0.6297472754202963,0.9361699653248615,0.6831461285321874,0.5743598320483869,0.6306273531303702,0.558751211902692,0.9115846213000505,0.5408138196125359,0.5470926762494613,0.5650119753596778
min_charge_len_20,0.6325534210414114,0.9360550691822441,0.6140294813565775,0.5861763808302439,0.6329561527581329,0.6612031019147598,0.9296321808014324,0.6369799740723617,0.609726239488074,0.6641419080121829
esmfold_plddt_binder_end_glycine_linker,0.626881345689334,0.9359505093811623,0.6817681561460289,0.5723620983071733,0.6284862478009642,0.5451465035101152,0.9086797159224131,0.5019495589581804,0.5311178473859511,0.5517125598536262
boltz_autoregwithseq_solublempnn,0.6381402229344821,0.9358734125605109,0.7310633051392931,0.5552156553187828,0.6387301855068488,0.5748969766851241,0.9093368981460354,0.5315365298666449,0.5101927631728703,0.5645308059639517
boltz_singleaascorewithoutseq_proteinmpnn,0.6368166305490314,0.935864348052449,0.7308348518226406,0.5551091712491468,0.6375898847139909,0.5656646185588414,0.9123403436722545,0.5534349587968125,0.5282010133733961,0.5725498710702375
esmfold_end_C_B_pdockq2_max,0.6254737543123344,0.935238778435421,0.6297070902118632,0.5744278313863338,0.6292781555350816,0.6167937040380691,0.931600510164741,0.6180469054547763,0.5585840820976744,0.6157612695364276
boltz_singleaascorewithseq_solublempnn,0.6311929849603573,0.9351847901822906,0.7316126809721957,0.5497010536907341,0.6315231878926518,0.5555562378462149,0.9080828865084142,0.5644750559801283,0.4962659200435814,0.5488306413491002
boltz_rosetta_per_residue_energy_int,0.6258345444636206,0.9351701317625946,0.6359677989610814,0.5743442066686034,0.6258689550849862,0.5744878726311126,0.9130127663410608,0.5269384535886209,0.5253966435140978,0.5657949618215893
boltz_rosetta_A_BC_per_residue_energy_int,0.6258345444636206,0.9351701317625946,0.6359677989610814,0.5743442066686034,0.6258689550849862,0.5744878726311126,0.9130127663410608,0.5269384535886209,0.5253966435140978,0.5657949618215893
boltz_rosetta_side1_score,0.6266407030611318,0.9351050095774451,0.6193378480060197,0.5778021417958846,0.626446288843451,0.5512513184945157,0.907341159693545,0.48036389349723946,0.5132345037707321,0.5458779319703174
boltz_rosetta_A_BC_side1_score,0.6266407030611318,0.9351049987991952,0.6193378480060197,0.5778021417958846,0.6264460571220949,0.5512513184945157,0.907341159693545,0.48036389349723946,0.5132345037707321,0.5458779319703174
