feature,n_features,roc_auc_4class_micro,roc_auc_binary_detected,roc_auc_4class_Down,roc_auc_4class_Not Recovered,roc_auc_4class_Not Sig,roc_auc_4class_Up
dna_sequence_entropy,1,0.9266764818538734,0.9018683475614959,0.7959353522336771,0.9037414035118697,0.8602621780949428,0.7321467125566745
esm2_pll,1,0.9006784669923175,0.8408291509272232,0.8193906115417744,0.8373472608934682,0.7878530632987415,0.6666836461808827
esm2_binder_LL_target,1,0.8978902135401704,0.8471392123453956,0.7872100515463918,0.8349709698398264,0.7788120108939222,0.7365727276190961
boltz_rosetta_A_BC_complex_normalized,1,0.8978837089569923,0.8232971694265437,0.8223751274209989,0.8262745737825271,0.789844731133691,0.6228117184708825
boltz_rosetta_complex_normalized,1,0.8978837089569923,0.8232971694265437,0.8223751274209989,0.8262745737825271,0.789844731133691,0.6228117184708825
esm2_full_LL_target,1,0.8976831370295892,0.8468567090127392,0.7852233676975946,0.8348944585205654,0.7792889072752553,0.7335754835596083
esm2_binder_LL_car_target,1,0.8975591305180504,0.8448968421424347,0.7954252577319587,0.8332141522398688,0.7806621390239137,0.7261458743443528
esm2_full_LL_alone,1,0.8973965814421143,0.8410447914919413,0.8296821305841924,0.8294415556516851,0.7770337045081073,0.7179288535541473
max_pident_cross_team_hamming,1,0.8970923106387053,0.8490770086428363,0.8496563573883161,0.8322607034921531,0.8074358488181015,0.6432962064542348
aa_sequence_entropy,1,0.8962266590060328,0.8454338927487869,0.827990764604811,0.8208590455507196,0.7768426586685973,0.6961289830960515
boltz_rosetta_A_B_complex_normalized,1,0.8949995879379326,0.7923738338765876,0.730240174672489,0.8067724139222958,0.7914929577464789,0.5139880952380953
esm2_binder_LL_car,1,0.8942633821698746,0.8272933532262763,0.8079896907216495,0.8204102772358226,0.7695642431137312,0.712328071222647
boltz_rosetta_A_C_complex_normalized,1,0.8937579238222191,0.792624659291326,0.7769753610875106,0.8113168724279836,0.7887036461625825,0.5082865884752676
esmfold_plddt_binder_start,1,0.8935686584314851,0.811723299756635,0.6886812714776632,0.794767214311148,0.7806219188471748,0.5255972262792263
esmfold_plddt_binder_middle,1,0.8935001915158478,0.8115908763194524,0.6794458762886598,0.7958177735794644,0.7799180657542432,0.5401262398557258
esm2_full_LL_car_target,1,0.8931415780905869,0.8353388127208896,0.8101911512027491,0.8225172812585523,0.7694924213695546,0.7371442360202695
boltz_sap_score,1,0.8907753970778856,0.7877321787148595,0.6814946619217082,0.8021655675080122,0.758628255005145,0.6757289994649545
gravy_score,1,0.8897409748156659,0.7917862156030122,0.6239798109965636,0.8007733528731472,0.7743547534503166,0.6214518853427144
esmfold_plddt_binder_middle_glycine_linker,1,0.8884460882888058,0.7958825139265315,0.698668384879725,0.7824753765975415,0.7721900460808311,0.5339920496831303
esmfold_plddt_binder_end,1,0.8883939002202433,0.8058113289721881,0.6968964776632303,0.7834347108313543,0.7705611289229035,0.5336491446424263
seq_kl_vs_human,1,0.8879555683232787,0.8390628540487731,0.7703500859106529,0.8171688457678941,0.7698184920881166,0.6604097080227079
esmfold_plddt_binder_start_glycine_linker,1,0.8870836924255483,0.8006821278386435,0.6987757731958762,0.7798004231664504,0.7713827696762852,0.5128716392130965
