feature,roc_auc_leah_12k_detected
dna_sequence_entropy,0.9018683475614959
max_pident_cross_team_hamming,0.8490770086428363
esm2_binder_LL_target,0.8471392123453956
esm2_full_LL_target,0.8468567090127392
aa_sequence_entropy,0.8454338927487869
esm2_binder_LL_car_target,0.8448968421424347
esm2_full_LL_alone,0.8410447914919413
esm2_pll,0.8408291509272232
seq_kl_vs_human,0.8390628540487731
esm2_full_LL_car_target,0.8353388127208896
esm2_binder_LL_car,0.8272933532262763
boltz_rosetta_complex_normalized,0.8232971694265437
boltz_rosetta_A_BC_complex_normalized,0.8232971694265437
esmfold_plddt_binder_start,0.811723299756635
esmfold_plddt_binder_middle,0.8115908763194524
esm2_full_LL_car,0.8098222877473007
total_duplicated_residues,0.808378872282009
esmfold_plddt_binder_end,0.8058113289721881
longest_dup_substr_len,0.8049476338874518
esmfold_plddt_binder_start_glycine_linker,0.8006821278386435
esmfold_plddt_binder_middle_glycine_linker,0.7958825139265315
boltz_rosetta_A_C_complex_normalized,0.792624659291326
boltz_rosetta_A_B_complex_normalized,0.7923738338765876
gravy_score,0.7917862156030122
boltz_sap_score,0.7877321787148595
boltz_rosetta_A_BC_side1_normalized,0.7864997144954727
boltz_rosetta_side1_normalized,0.7864997144954727
esmfold_plddt_binder_end_glycine_linker,0.7864039385672961
esmfold_end_glycine_linker_C_B_pdockq2,0.7615995574114455
esmfold_end_C_B_pdockq2,0.7563732457573002
esmfold_end_glycine_linker_C_B_pdockq2_max,0.7544310353452868
boltz_rosetta_A_B_side1_normalized,0.7533953392529317
esmfold_z_axis_displacement_start,0.7516089447617702
boltz_rosetta_per_residue_energy_int,0.7497599774096384
boltz_rosetta_A_BC_per_residue_energy_int,0.7497599774096384
esmfold_end_C_B_pdockq2_max,0.7490502296810949
boltz_singleaascorewithoutseq_solublempnn,0.7426503502235
boltz_rosetta_A_C_side1_normalized,0.736133825022714
esmfold_z_axis_displacement_middle,0.7331373466463028
esmfold_z_axis_displacement_start_glycine_linker,0.7291558153016753
esmfold_z_axis_displacement_end,0.7280552294015343
esmfold_z_axis_displacement_end_glycine_linker,0.7266279990230093
boltz_singleaascorewithoutseq_proteinmpnn,0.7250383007697981
boltz_rosetta_A_BC_side1_score,0.7236885040160642
boltz_rosetta_side1_score,0.7236885040160642
global_id,0.721966694034177
chai1_plddt_binder_none,0.7155912412195904
esmfold_end_C_B_lis_score_max,0.7113551626012672
boltz_rosetta_A_B_per_residue_energy_int,0.7112512550200804
boltz_plddt_binder_none,0.7079121532345161
num_cysteines,0.7007966005432303
esmfold_start_glycine_linker_A_B_lis_score,0.6975286843878654
esmfold_z_axis_displacement_middle_glycine_linker,0.6970740305868712
esmfold_ptm_middle,0.6959999293741668
esmfold_start_glycine_linker_A_B_lis_score_max,0.6939900358720379
boltz_rosetta_A_C_per_residue_energy_int,0.6887110943775101
max_pident_within_team_mmseqs,0.6878661875880984
boltz_autoregwithseq_solublempnn,0.6869960217636638
esmfold_start_glycine_linker_A_B_pdockq2,0.6869215670695281
esmfold_start_glycine_linker_A_B_pdockq2_max,0.6814495363708327
esmfold_end_C_B_lis_score,0.6724565136146008
esmfold_end_C_A_lis_score_max,0.6720930848481104
boltz_hs_iplddt,0.6695772836497782
boltz_autoregwithseq_proteinmpnn,0.668258591666509
esmfold_end_C_B_ipSAE_d0chn_max,0.6677186973065072
esmfold_end_C_B_ipSAE_max,0.6670506946344965
boltz_rosetta_A_B_side1_score,0.6656861822289157
chai1_rmsd_alone,0.6548015266950935
boltz_rosetta_A_C_side1_score,0.6499921561244979
esmfold_start_A_B_pdockq2,0.6487321191575515
esmfold_plddt_hotspot_start_glycine_linker,0.648018503968289
esmfold_start_A_C_pdockq_max,0.6458894293726954
esmfold_start_A_C_pdockq,0.6458894293726954
esmfold_start_A_C_pdockq2_max,0.6419490964307469
esmfold_start_A_C_pdockq2,0.6418122588789915
esmfold_start_A_B_lis_score,0.641086872717535
esmfold_start_A_B_pdockq2_max,0.6362342894305498
esmfold_plddt_hotspot_start,0.6340890297481896
esmfold_ptm_middle_glycine_linker,0.6324131375820656
esmfold_start_glycine_linker_A_B_ipSAE_d0chn_max,0.6311183306407234
esmfold_start_glycine_linker_A_B_ipSAE_max,0.631097731439384
esmfold_ipae_middle_glycine_linker,0.6281726448491698
esmfold_middle_glycine_linker_B_C_pdockq2,0.6255977446817277
esmfold_middle_glycine_linker_B_C_pdockq2_max,0.6234068724821155
dna_gc_content,0.6216014996218575
esmfold_middle_glycine_linker_B_C_lis_score,0.6174831307254744
closest_ab_pident,0.6174522319234651
chai1_iptm_C,0.6160985701211528
esmfold_middle_glycine_linker_B_C_lis_score_max,0.6159779176561642
esmfold_ipae_end,0.6147537365479858
boltz_A_B_pdockq,0.6147169522598795
boltz_A_B_pdockq_max,0.6147169522598795
esmfold_start_glycine_linker_A_B_ipSAE_d0chn,0.6144182638404563
esmfold_start_glycine_linker_A_B_ipSAE,0.6144153210974078
boltz_all_hs_engaged,0.6139966114457831
chai1_ipae_none,0.6130175181493678
rnn_solubility,0.6110870787095484
msa_depth,0.610922285098832
boltz_rosetta_A_B_packstat,0.6086659136546184
chai1_iptm_B,0.6080295686821514
boltz_rosetta_A_BC_packstat,0.607214796686747
boltz_rosetta_packstat,0.607214796686747
boltz_rosetta_nres_int,0.6066421937751005
boltz_rosetta_A_BC_nres_int,0.6066421937751005
esmfold_end_glycine_linker_C_B_pdockq,0.6052163063277803
esmfold_end_glycine_linker_C_B_pdockq_max,0.6052163063277803
esmfold_middle_B_A_pdockq2,0.6049617590540846
esmfold_ptm_start_glycine_linker,0.6049308602520753
chai1_A_B_pdockq,0.6042275446634826
chai1_A_B_pdockq_max,0.6042275446634826
esmfold_start_A_B_lis_score_max,0.604183403517755
boltz_A_C_pdockq2,0.6034006338668526
esmfold_end_glycine_linker_C_B_lis_score_max,0.6032534967144274
boltz_A_C_pdockq2_max,0.6029062530347038
boltz_autoregwithoutseq_proteinmpnn,0.601476549841438
boltz_B_hs_engaged,0.6008424322289156
num_pipi_within_chain,0.6003593089262225
esmfold_middle_B_A_pdockq2_max,0.5997589893443275
esmfold_start_A_B_ipSAE_d0chn,0.5991969254220629
boltz_rosetta_A_BC_dSASA_hphobic,0.5990759914658634
boltz_rosetta_dSASA_hphobic,0.5990759914658634
esmfold_start_A_B_ipSAE,0.59907480158555
boltz_rosetta_A_BC_dSASA_int,0.5979700050200802
boltz_rosetta_dSASA_int,0.5979700050200802
esmfold_middle_glycine_linker_B_C_ipSAE,0.5962924380331882
esmfold_middle_glycine_linker_B_C_ipSAE_d0chn,0.5962821384325184
esmfold_binder_below_membrane_start,0.5962703674603245
esmfold_middle_glycine_linker_B_C_ipSAE_max,0.5951653674456108
esmfold_middle_glycine_linker_B_C_ipSAE_d0chn_max,0.595155067844941
boltz_rosetta_A_B_dG_separated,0.5941672941767069
boltz_rosetta_A_BC_dSASA_polar,0.5932683860441768
boltz_rosetta_dSASA_polar,0.5932683860441768
esmfold_binder_below_membrane_start_glycine_linker,0.5910675977505673
boltz_singleaascorewithseq_solublempnn,0.5904497109316387
esmfold_ipae_end_glycine_linker,0.5899287561907958
boltz_rosetta_A_C_packstat,0.5894515562248996
boltz_rosetta_dG_separated,0.5890766189759036
boltz_rosetta_A_BC_dG_separated,0.5890766189759036
boltz_C_hs_engaged,0.5876694277108434
boltz_rosetta_A_B_dG_separated/dSASAx100,0.5874450928714859
esmfold_plddt_hotspot_middle,0.5872067188709283
chai1_A_C_pdockq_max,0.586855061076632
chai1_A_C_pdockq,0.586855061076632
boltz_rosetta_A_C_dSASA_int,0.5867689508032128
boltz_rosetta_A_C_dSASA_polar,0.5864222515060241
boltz_rosetta_A_B_dSASA_int,0.586398719879518
esmfold_binder_below_membrane_end_glycine_linker,0.5859251542733044
boltz_rosetta_A_B_dSASA_hphobic,0.5853178338353413
boltz_rosetta_A_B_nres_int,0.5848879894578314
esmfold_ipae_middle,0.5847436429393295
esmfold_start_glycine_linker_A_C_pdockq,0.5838107933929534
esmfold_start_glycine_linker_A_C_pdockq_max,0.5838107933929534
boltz_rosetta_A_B_dSASA_polar,0.5834886420682731
esmfold_ptm_end_glycine_linker,0.582760234124637
boltz_rosetta_A_C_nres_int,0.5816971009036145
boltz_rosetta_A_C_dSASA_hphobic,0.5811511671686747
num_disulfide_within_chain,0.5810313725836401
esmfold_start_A_B_ipSAE_d0chn_max,0.5807032567337318
esmfold_start_A_B_ipSAE_max,0.5806164458138008
esmfold_n_hs_engaged_start_glycine_linker,0.5801176508670792
boltz_rosetta_A_BC_hbonds_int,0.5793972766064257
boltz_rosetta_hbonds_int,0.5793972766064257
esmfold_binder_below_membrane_end,0.5781268851947655
esmfold_plddt_hotspot_middle_glycine_linker,0.5774382833214151
chai1_ptm_none,0.5773867853180663
esmfold_binder_below_membrane_middle,0.5768217786527534
esmfold_middle_B_A_pdockq_max,0.5767688092778803
esmfold_middle_B_A_pdockq,0.5767688092778803
boltz_rosetta_A_C_dG_separated,0.5764824924698795
esmfold_ipae_start_glycine_linker,0.5762626574735374
esmfold_binder_below_membrane_middle_glycine_linker,0.5762229304423825
seq_charge,0.5760434231164238
boltz_A_C_pdockq,0.575416618847092
boltz_A_C_pdockq_max,0.575416618847092
boltz_singleaascorewithseq_proteinmpnn,0.5738085781115041
esmfold_start_glycine_linker_A_C_lis_score_max,0.5726224843225364
boltz_rosetta_A_B_side2_score,0.5720993348393575
esmfold_n_hs_engaged_end,0.570552264587913
boltz_rosetta_A_B_hbonds_int,0.5697446034136546
boltz_rosetta_A_C_dG_separated/dSASAx100,0.5691547439759037
esmfold_ptm_end,0.5680700608264988
boltz_rosetta_side2_score,0.5666337223895582
boltz_rosetta_A_BC_side2_score,0.5666337223895582
boltz_rosetta_A_C_hbonds_int,0.5650555346385542
esmfold_n_hs_engaged_end_glycine_linker,0.5630953537030006
esmfold_end_glycine_linker_C_B_lis_score,0.5625068050932998
boltz_rosetta_A_BC_dG_separated/dSASAx100,0.5603962725903615
boltz_rosetta_dG_separated/dSASAx100,0.5603931350401606
boltz_rosetta_A_C_hbond_E_fraction,0.5580054593373494
boltz_A_B_pdockq2,0.5565830633366585
boltz_rosetta_A_BC_hbond_E_fraction,0.5565072791164659
boltz_rosetta_hbond_E_fraction,0.5565072791164659
boltz_rosetta_A_B_hbond_E_fraction,0.5562876506024097
boltz_rosetta_A_B_nres_all,0.5559456576305221
boltz_A_B_pdockq2_max,0.5555030766378573
esmfold_n_hs_engaged_start,0.5554000806311594
chai1_A_B_pdockq2,0.5552705999370252
boltz_rosetta_A_C_side2_score,0.5545008157630522
boltz_rosetta_A_C_nres_all,0.5536113202811245
boltz_autoregwithoutseq_solublempnn,0.5528109297472464
chai1_A_C_pdockq2,0.5526603868530013
esmfold_end_C_A_ipSAE_d0chn_max,0.5518761458305745
esmfold_end_C_A_ipSAE_max,0.5518658462299048
boltz_rosetta_nres_all,0.5504643574297188
boltz_rosetta_A_BC_nres_all,0.5504643574297188
chai1_plddt_hotspot_none,0.5502193814942661
esmfold_ptm_start,0.5482183162212826
chai1_A_B_pdockq2_max,0.5477195212745608
esmfold_middle_B_C_ipSAE,0.547481159087632
esmfold_middle_B_C_ipSAE_d0chn,0.5474384893134286
esmfold_ipae_start,0.5472972376471004
esmfold_middle_B_C_ipSAE_max,0.5456272309670737
esmfold_middle_B_C_ipSAE_d0chn_max,0.5455786757067733
boltz_binder_below_membrane_none,0.5453300139191746
esmfold_start_glycine_linker_A_B_pdockq_max,0.5412763853698587
esmfold_start_glycine_linker_A_B_pdockq,0.5412763853698587
longest_dup_occurrences,0.5409335558047079
chai1_A_C_pdockq2_max,0.5383306995783048
esmfold_middle_B_C_lis_score,0.5382718447173348
max_pident_within_team_hamming,0.537725965881837
chai1_binder_below_membrane_none,0.5374567048928989
boltz_A_C_ipSAE_d0chn_max,0.5372809921002693
boltz_A_C_lis_score,0.5365576968915805
esmfold_end_C_A_pdockq_max,0.5362913786456908
esmfold_end_C_A_pdockq,0.5362913786456908
esmfold_end_C_B_ipSAE_d0chn,0.5359250071361519
esmfold_end_C_B_ipSAE,0.5359176502785307
esmfold_middle_B_C_pdockq_max,0.5351466515998222
esmfold_middle_B_C_pdockq,0.5351466515998222
boltz_A_C_ipSAE_d0dom,0.5344470503678767
boltz_A_C_ipSAE_d0dom_max,0.5344218317540177
esmfold_n_hs_engaged_middle_glycine_linker,0.5343550537197743
boltz_A_C_ipSAE_d0chn,0.5342925863579908
boltz_A_B_lis_score,0.5340107527830992
boltz_A_B_ipSAE_d0chn_max,0.5336763064818142
boltz_A_C_ipSAE_max,0.5321411233631544
boltz_A_C_ipSAE,0.5320670436849438
boltz_A_B_ipSAE_d0dom,0.5316068039820192
