feature_combo,n_features,n_dna_detected,n_leah_detected,n_3class,auc_dna_detected,auc_leah_detected,auc_3class_avg,auc_3class_down,auc_3class_notsig,auc_3class_up
boltz_B_hs_engaged,1,12000,11796,6811,0.5073649924534073,0.6131882507013038,0.5359863213707058,0.5559488518407717,0.5154539828707256,0.5365561294006203
boltz_C_hs_engaged,1,12000,11796,6811,0.5699485202694168,0.5719393682442129,0.5357880456998081,0.5297977462899,0.5407568741061222,0.5368095167034022
boltz_all_hs_engaged,1,12000,11796,6811,0.5652686769858842,0.6409828663791992,0.5463829181139992,0.5155411714578404,0.5539497101974316,0.5696578726867256
boltz_hs_iplddt,1,12000,11796,6811,0.5704717119129781,0.6619947347548445,0.5801853397454315,0.6615958189416808,0.5168982695181248,0.562061930776489
boltz_hs_pae,1,12000,11796,6811,0.5346740171144755,0.5117032495224626,0.5207119098245859,0.5268935788299928,0.5198676703947664,0.5153744802489986
boltz_hs_pde,1,12000,11796,6811,0.5307415607816541,0.5047847992663941,0.5220254872261235,0.5141718113990952,0.5267411013462133,0.5251635489330622
boltz_A_B_ipSAE,1,12000,11796,6811,0.5550610376398779,0.5187460045678071,0.50922162201477,0.4936504482943059,0.5169630859083381,0.5170513318416657
boltz_A_B_ipSAE_max,1,12000,11796,6811,0.5508347794865657,0.5152275796704457,0.5109519226106757,0.4948579872537554,0.5200398389312703,0.5179579416470013
boltz_A_C_ipSAE,1,12000,11796,6811,0.5528113966848184,0.5215337541033025,0.5075919539448719,0.4922022174476688,0.5135672664883444,0.5170063778986025
boltz_A_C_ipSAE_max,1,12000,11796,6811,0.5502099831115899,0.5199430474656976,0.5080028964177564,0.49260654355571276,0.5146159030871507,0.516786242610406
boltz_rosetta_A_C_delta_unsatHbonds,1,12000,11796,6811,0.5409427589279184,0.5032604199325329,0.523223999631476,0.5377800139610359,0.5198449074958226,0.5120470774375697
boltz_rosetta_A_C_hbond_E_fraction,1,12000,11796,6811,0.42725953131337313,0.5498165469834846,0.5253418712770231,0.5196610369242206,0.5234348867275709,0.532929690179278
boltz_rosetta_A_C_hbonds_int,1,12000,11796,6811,0.5367813283333001,0.5594630463111548,0.5132178237255206,0.4779247917176607,0.5287738475124973,0.5329548319464038
boltz_rosetta_A_C_nres_all,1,12000,11796,6811,0.4558335244915192,0.5529623667655441,0.5200921208487784,0.519134325110827,0.5212126104916901,0.5199294269438178
boltz_rosetta_A_C_nres_int,1,12000,11796,6811,0.5789215270713236,0.5733393691572441,0.5358094048924319,0.526882246820238,0.5413793815204613,0.5391665863365966
boltz_rosetta_A_C_packstat,1,12000,11796,6811,0.4763030339297468,0.5642031512243382,0.5216365475278012,0.5114213059914602,0.5266588269699457,0.5268295096219976
boltz_rosetta_A_C_per_residue_energy_int,1,12000,11796,6811,0.4962977646127966,0.7319951191115557,0.5965626865217062,0.6093230710652995,0.5679738743650019,0.6123911141348173
boltz_rosetta_A_C_sc_value,1,12000,11796,6811,0.4980053058863423,0.4999412714726178,0.498596521444366,0.49759036144578317,0.4992115934916628,0.4989876093956521
boltz_rosetta_A_C_side1_normalized,1,12000,11796,6811,0.45543063783668775,0.5914030153888475,0.5201279335553177,0.4937968578603352,0.529829910989349,0.5367570318162691
boltz_rosetta_A_C_side1_score,1,12000,11796,6811,0.5370009524664393,0.6787963067001621,0.5771506231578024,0.5739780793603306,0.5623500879843916,0.595123702128685
chai1_A_C_ipSAE_d0chn,1,12000,11796,6811,0.49381250041556124,0.5046186864808198,0.5001514398819115,0.5035083902200224,0.4954798284063232,0.5014661010193886
chai1_A_B_ipSAE_d0chn_max,1,12000,11796,6811,0.483084993916183,0.5104026217545604,0.5055537394432807,0.5085511345608167,0.5019936827168253,0.5061164010522003
chai1_A_C_ipSAE_d0chn_max,1,12000,11796,6811,0.48337090007247385,0.5073481050993239,0.5003730252506733,0.5063010507039445,0.4939603084488551,0.5008577165992203
chai1_A_B_lis_score,1,12000,11796,6811,0.4730915764067581,0.5080794136925533,0.5037984670319733,0.5039730026199607,0.4959197503643028,0.5115026481116564
