model,A_B_ipSAE,A_B_ipSAE_max,A_C_ipSAE,A_C_ipSAE_max,A_B_ipSAE_d0chn,A_B_ipSAE_d0chn_max,A_C_ipSAE_d0chn,A_C_ipSAE_d0chn_max,A_B_ipSAE_d0dom,A_B_ipSAE_d0dom_max,A_C_ipSAE_d0dom,A_C_ipSAE_d0dom_max
binder00001_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00002_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00003_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00004_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00005_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00006_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00007_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00008_CD20_46-217_model_0,0.006289,0.012578,0.0063435,0.012687,0.144682,0.289364,0.145581,0.291162,0.006289,0.012578,0.0063435,0.012687
binder00009_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00010_CD20_46-217_model_0,0.1867915,0.240478,0.20497,0.271558,0.378409,0.384634,0.3963204999999999,0.412375,0.3342975,0.348371,0.357732,0.358378
binder00011_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00012_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00013_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00014_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00015_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00016_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00017_CD20_46-217_model_0,0.0129109999999999,0.014208,0.0134885,0.014835,0.2931985,0.313355,0.3035025,0.324934,0.055573,0.085146,0.0395989999999999,0.057717
binder00018_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00019_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00020_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00021_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00022_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00023_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00024_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00025_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00026_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00027_CD20_46-217_model_0,0.00564,0.01128,0.005983,0.011966,0.1336035,0.267207,0.139386,0.278772,0.00564,0.01128,0.021673,0.043346
binder00028_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00029_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00030_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00031_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00032_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00033_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00034_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00035_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00036_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00037_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00038_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00039_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00040_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00041_CD20_46-217_model_0,0.0065235,0.013047,0.0066355,0.013271,0.1482805,0.296561,0.1503275,0.300655,0.030275,0.06055,0.0076365,0.015273
binder00042_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00043_CD20_46-217_model_0,0.0058015,0.011603,0.010955,0.010975,0.136359,0.272718,0.2614825,0.261834,0.0084625,0.016925,0.010955,0.010975
binder00044_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00045_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00046_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00047_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00048_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00049_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00050_CD20_46-217_model_0,0.0054655,0.010931,0.0,0.0,0.1305205,0.261041,0.0,0.0,0.0054655,0.010931,0.0,0.0
binder00051_CD20_46-217_model_0,0.006404,0.012808,0.0060645,0.012129,0.1463215,0.292643,0.140928,0.281856,0.030667,0.061334,0.012622,0.025244
binder00052_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00053_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00054_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00055_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00056_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00057_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00058_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00059_CD20_46-217_model_0,0.0,0.0,0.0054965,0.010993,0.0,0.0,0.13108,0.26216,0.0,0.0,0.0054965,0.010993
binder00060_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00061_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
binder00062_CD20_46-217_model_0,0.0056065,0.011213,0.0,0.0,0.1330265,0.266053,0.0,0.0,0.0056065,0.011213,0.0,0.0
binder00063_CD20_46-217_model_0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
