basename,sap_score
binder00001_CD20_46-217,111.743
binder00002_CD20_46-217,132.576
binder00003_CD20_46-217,102.819
binder00004_CD20_46-217,127.372
binder00005_CD20_46-217,97.433
binder00006_CD20_46-217,118.377
binder00007_CD20_46-217,124.744
binder00008_CD20_46-217,122.428
binder00009_CD20_46-217,107.918
binder00010_CD20_46-217,107.027
binder00011_CD20_46-217,96.857
binder00012_CD20_46-217,121.077
binder00013_CD20_46-217,93.711
binder00014_CD20_46-217,85.654
binder00015_CD20_46-217,122.293
binder00016_CD20_46-217,123.314
binder00017_CD20_46-217,107.128
binder00018_CD20_46-217,97.651
binder00019_CD20_46-217,95.344
binder00020_CD20_46-217,121.246
binder00021_CD20_46-217,57.829
binder00022_CD20_46-217,52.879
binder00023_CD20_46-217,55.246
binder00024_CD20_46-217,53.935
binder00025_CD20_46-217,62.747
binder00026_CD20_46-217,65.404
binder00027_CD20_46-217,64.049
binder00028_CD20_46-217,54.527
binder00029_CD20_46-217,66.453
binder00030_CD20_46-217,63.714
binder00031_CD20_46-217,66.998
binder00032_CD20_46-217,56.118
binder00033_CD20_46-217,50.141
binder00034_CD20_46-217,39.965
binder00035_CD20_46-217,75.442
binder00036_CD20_46-217,53.28
binder00037_CD20_46-217,61.015
binder00038_CD20_46-217,57.457
binder00039_CD20_46-217,62.013
binder00040_CD20_46-217,47.797
binder00041_CD20_46-217,47.918
binder00042_CD20_46-217,51.468
binder00043_CD20_46-217,56.697
binder00044_CD20_46-217,58.226
binder00045_CD20_46-217,61.969
binder00046_CD20_46-217,59.779
binder00047_CD20_46-217,51.464
binder00048_CD20_46-217,52.979
binder00049_CD20_46-217,55.006
binder00050_CD20_46-217,54.558
binder00051_CD20_46-217,55.252
binder00052_CD20_46-217,54.144
binder00053_CD20_46-217,52.413
binder00054_CD20_46-217,57.897
binder00055_CD20_46-217,48.71
binder00056_CD20_46-217,51.848
binder00057_CD20_46-217,49.172
binder00058_CD20_46-217,52.693
binder00059_CD20_46-217,44.494
binder00060_CD20_46-217,57.877
binder00061_CD20_46-217,60.325
binder00062_CD20_46-217,60.62
binder00063_CD20_46-217,61.486
binder00064_CD20_46-217,62.513
binder00065_CD20_46-217,58.925
binder00066_CD20_46-217,42.09
binder00067_CD20_46-217,55.99
binder00068_CD20_46-217,49.739
binder00069_CD20_46-217,52.883
binder00070_CD20_46-217,46.863
binder00071_CD20_46-217,60.459
binder00072_CD20_46-217,50.928
binder00073_CD20_46-217,52.262
binder00074_CD20_46-217,58.295
binder00075_CD20_46-217,56.757
binder00076_CD20_46-217,53.457
binder00077_CD20_46-217,58.109
binder00078_CD20_46-217,61.223
binder00079_CD20_46-217,51.622
